"peak_id","chr","start","end","width","replicate_count","gene","gene_id","annotation","distance_to_TSS","nearest_DMR_distance","has_overlapping_DMR","has_nearby_DMR_5kb","overlapping_DMR_logFC","overlapping_DMR_direction"
"TEAD1_peak_34","chr1",8456471,8456654,184,2,"RERE-AS1","102724552","Intron (ENST00000337907.7/473, intron 12 of 23)",30833,5346,FALSE,FALSE,NA,NA
"TEAD1_peak_35","chr1",8712357,8712958,602,3,"RERE","473","Intron (ENST00000337907.7/473, intron 2 of 23)",-9138,8042,FALSE,FALSE,NA,NA
"TEAD1_peak_36","chr1",8903976,8904249,274,2,"ENO1","2023","Distal Intergenic",-24786,5251,FALSE,FALSE,NA,NA
"TEAD1_peak_37","chr1",8905799,8906136,338,2,"ENO1","2023","Distal Intergenic",-26609,3364,FALSE,TRUE,NA,NA
"TEAD1_peak_38","chr1",8938604,8938973,370,2,"CA6","765","Distal Intergenic",-6894,10527,FALSE,FALSE,NA,NA
"TEAD1_peak_39","chr1",8986205,8986474,270,3,"SLC2A7","155184","Distal Intergenic",39949,526,FALSE,TRUE,NA,NA
"TEAD1_peak_40","chr1",9080709,9080967,259,2,"LOC124900441","124900441","Promoter (1-2kb)",-1729,2533,FALSE,TRUE,NA,NA
"TEAD1_peak_41","chr1",9303017,9303368,352,2,"SPSB1","80176","Intron (ENST00000328089.11/80176, intron 1 of 2)",8489,8632,FALSE,FALSE,NA,NA
"TEAD1_peak_42","chr1",9755506,9755920,415,3,"CLSTN1","22883","Intron (ENST00000377298.9/22883, intron 3 of 18)",-3925,14580,FALSE,FALSE,NA,NA
"TEAD1_peak_43","chr1",9766753,9767215,463,3,"CLSTN1","22883","Intron (ENST00000377298.9/22883, intron 2 of 18)",-15172,3285,FALSE,TRUE,NA,NA
"TEAD1_peak_44","chr1",10108223,10108632,410,3,"UBE4B","10277","Intron (ENST00000253251.12/10277, intron 6 of 26)",7362,11222,FALSE,FALSE,NA,NA
"TEAD1_peak_45","chr1",10295497,10296010,514,3,"KIF1B","23095","3' UTR",13047,60490,FALSE,FALSE,NA,NA
"TEAD1_peak_46","chr1",10510725,10510952,228,2,"PEX14","5195","Intron (ENST00000472851.1/5195, intron 2 of 3)",-24936,16048,FALSE,FALSE,NA,NA
"TEAD1_peak_47","chr1",10528535,10528898,364,3,"PEX14","5195","Intron (ENST00000472851.1/5195, intron 3 of 3)",-6990,1034,FALSE,TRUE,NA,NA
"TEAD1_peak_48","chr1",10979500,10979763,264,2,"C1orf127","148345","Promoter (2-3kb)",2313,5237,FALSE,FALSE,NA,NA
"TEAD1_peak_49","chr1",10980208,10980367,160,2,"C1orf127","148345","Promoter (1-2kb)",1709,4633,FALSE,TRUE,NA,NA
"TEAD1_peak_50","chr1",11158670,11158932,263,2,"MTOR","2475","Intron (ENST00000703140.1/2475, intron 27 of 55)",-13645,27669,FALSE,FALSE,NA,NA
"TEAD1_peak_51","chr1",11180237,11180551,315,3,"ANGPTL7","10218","Intron (ENST00000703140.1/2475, intron 26 of 55)",-8804,49236,FALSE,FALSE,NA,NA
"TEAD1_peak_52","chr1",11281926,11282137,212,2,"UBIAD1","29914","Intron (ENST00000376810.6/29914, intron 1 of 1)",7992,3925,FALSE,TRUE,NA,NA
"TEAD1_peak_53","chr1",11821471,11821757,287,3,"CLCN6","1185","Intron (ENST00000312413.10/1185, intron 4 of 21)",-8092,12243,FALSE,FALSE,NA,NA
"TEAD1_peak_54","chr1",12381106,12381551,446,2,"VPS13D","55187","Promoter (1-2kb)",-1445,1605,FALSE,TRUE,NA,NA
"TEAD1_peak_55","chr1",12406113,12406957,845,3,"VPS13D","55187","Promoter (<=1kb)",-297,26612,FALSE,FALSE,NA,NA
"TEAD1_peak_56","chr1",12433632,12434127,496,3,"VPS13D","55187","Intron (ENST00000620676.6/55187, intron 65 of 69)",23794,54131,FALSE,FALSE,NA,NA
"TEAD1_peak_57","chr1",12447295,12448004,710,3,"VPS13D","55187","Intron (ENST00000620676.6/55187, intron 65 of 69)",-16936,67794,FALSE,FALSE,NA,NA
"TEAD1_peak_58","chr1",12448951,12449545,595,3,"VPS13D","55187","Intron (ENST00000620676.6/55187, intron 65 of 69)",-15395,69450,FALSE,FALSE,NA,NA
"TEAD1_peak_59","chr1",12454692,12455378,687,3,"VPS13D","55187","Intron (ENST00000620676.6/55187, intron 65 of 69)",-9562,64122,FALSE,FALSE,NA,NA
"TEAD1_peak_60","chr1",12478189,12478682,494,3,"VPS13D","55187","Promoter (<=1kb)",0,40818,FALSE,FALSE,NA,NA
"TEAD1_peak_61","chr1",12480785,12481191,407,2,"VPS13D","55187","Promoter (2-3kb)",2236,38309,FALSE,FALSE,NA,NA
"TEAD1_peak_62","chr1",12485587,12485925,339,2,"VPS13D","55187","Intron (ENST00000620676.6/55187, intron 67 of 69)",7038,33575,FALSE,FALSE,NA,NA
"TEAD1_peak_63","chr1",12540004,12540466,463,3,"LINC02766","105376744","Distal Intergenic",12280,5034,FALSE,FALSE,NA,NA
"TEAD1_peak_64","chr1",12549754,12550285,532,3,"LINC02766","105376744","Distal Intergenic",22030,3753,FALSE,TRUE,NA,NA
"TEAD1_peak_65","chr1",12596560,12596767,208,2,"DHRS3","9249","Promoter (<=1kb)",-252,39233,FALSE,FALSE,NA,NA
"TEAD1_peak_66","chr1",12616021,12616255,235,2,"DHRS3","9249","Promoter (<=1kb)",441,19745,FALSE,FALSE,NA,NA
"TEAD1_peak_67","chr1",12693027,12693474,448,3,"AADACL3","126767","Distal Intergenic",-22636,26526,FALSE,FALSE,NA,NA
"TEAD1_peak_68","chr1",12711712,12712051,340,2,"AADACL3","126767","Distal Intergenic",-4059,45211,FALSE,FALSE,NA,NA
"TEAD1_peak_69","chr1",12810765,12811118,354,2,"LINC01784","105376745","Distal Intergenic",12041,144264,FALSE,FALSE,NA,NA
"TEAD1_peak_70","chr1",14486287,14487070,784,3,"KAZN-AS1","105376762","Intron (ENST00000636203.1/23254, intron 2 of 16)",-66314,66286,FALSE,FALSE,NA,NA
"TEAD1_peak_71","chr1",14511376,14511965,590,3,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 2 of 16)",-86720,57535,FALSE,FALSE,NA,NA
"TEAD1_peak_72","chr1",14742162,14742802,641,3,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 3 of 16)",143445,7661,FALSE,FALSE,NA,NA
"TEAD1_peak_73","chr1",14743402,14743498,97,2,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 3 of 16)",144685,8901,FALSE,FALSE,NA,NA
"TEAD1_peak_74","chr1",14789660,14790210,551,3,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 3 of 16)",-133920,2290,FALSE,TRUE,NA,NA
"TEAD1_peak_75","chr1",14811032,14811224,193,2,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 3 of 16)",-112906,8531,FALSE,FALSE,NA,NA
"TEAD1_peak_76","chr1",14968663,14968894,232,2,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 4 of 16)",22744,7606,FALSE,FALSE,NA,NA
"TEAD1_peak_77","chr1",15033400,15033690,291,3,"KAZN","23254","Intron (ENST00000636203.1/23254, intron 4 of 16)",87481,810,FALSE,TRUE,NA,NA
"TEAD1_peak_78","chr1",15337886,15338090,205,2,"FHAD1","114827","Intron (ENST00000683790.1/114827, intron 14 of 33)",-3671,3885,FALSE,TRUE,NA,NA
"TEAD1_peak_79","chr1",15356306,15356728,423,3,"FHAD1","114827","Promoter (1-2kb)",-1063,2272,FALSE,TRUE,NA,NA
"TEAD1_peak_80","chr1",15356836,15357167,332,3,"FHAD1","114827","Promoter (<=1kb)",-624,1833,FALSE,TRUE,NA,NA
"TEAD1_peak_81","chr1",15681095,15681330,236,2,"PLEKHM2","23207","Promoter (2-3kb)",-2990,670,FALSE,TRUE,NA,NA
"TEAD1_peak_82","chr1",15796683,15797105,423,3,"UQCRHL","440567","Distal Intergenic",10544,7182,FALSE,FALSE,NA,NA
"TEAD1_peak_83","chr1",15949176,15949402,227,2,"ZBTB17","7709","Promoter (1-2kb)",-1884,2098,FALSE,TRUE,NA,NA
"TEAD1_peak_84","chr1",15949785,15950053,269,2,"ZBTB17","7709","Promoter (2-3kb)",-2493,1447,FALSE,TRUE,NA,NA
"TEAD1_peak_85","chr1",15965498,15966211,714,3,"ZBTB17","7709","Intron (ENST00000375743.9/7709, intron 2 of 15)",9868,13497,FALSE,FALSE,NA,NA
"TEAD1_peak_86","chr1",16008277,16008486,210,2,"SRARP","149563","3' UTR",4041,5776,FALSE,FALSE,NA,NA
"TEAD1_peak_87","chr1",16145180,16147071,1892,3,"EPHA2","1969","Promoter (<=1kb)",0,1429,FALSE,TRUE,NA,NA
"TEAD1_peak_88","chr1",16173537,16173791,255,2,"EPHA2-AS1","101927479","Distal Intergenic",14271,2036,FALSE,TRUE,NA,NA
"TEAD1_peak_89","chr1",16181779,16182141,363,3,"EPHA2-AS1","101927479","Distal Intergenic",22513,10278,FALSE,FALSE,NA,NA
"TEAD1_peak_90","chr1",17128306,17128908,603,3,"PADI2","11240","Distal Intergenic",-8855,5592,FALSE,FALSE,NA,NA
"TEAD1_peak_91","chr1",17168033,17168779,747,3,"LINC02783","400743","Distal Intergenic",-21004,15221,FALSE,FALSE,NA,NA
"TEAD1_peak_92","chr1",17189996,17190171,176,2,"LINC02783","400743","Promoter (<=1kb)",207,5495,FALSE,FALSE,NA,NA
"TEAD1_peak_93","chr1",17569799,17570145,347,3,"ARHGEF10L","55160","Intron (ENST00000361221.8/55160, intron 1 of 28)",-10408,10355,FALSE,FALSE,NA,NA
"TEAD1_peak_94","chr1",17586119,17586392,274,2,"ARHGEF10L","55160","Intron (ENST00000361221.8/55160, intron 2 of 28)",5566,5118,FALSE,FALSE,NA,NA
"TEAD1_peak_95","chr1",17587609,17587928,320,3,"ARHGEF10L","55160","Exon (ENST00000361221.8/55160, exon 3 of 29)",7056,5572,FALSE,FALSE,NA,NA
"TEAD1_peak_96","chr1",18618491,18618763,273,3,"PAX7","5081","Distal Intergenic",-12083,1737,FALSE,TRUE,NA,NA
"TEAD1_peak_97","chr1",18649588,18650027,440,3,"PAX7","5081","Intron (ENST00000420770.7/5081, intron 4 of 8)",16818,28587,FALSE,FALSE,NA,NA
"TEAD1_peak_98","chr1",18890756,18890965,210,2,"ALDH4A1","8659","Promoter (<=1kb)",0,1255,FALSE,TRUE,NA,NA
"TEAD1_peak_99","chr1",18926496,18926788,293,3,"IFFO2","126917","Intron (ENST00000455833.7/126917, intron 1 of 8)",-14504,1495,FALSE,TRUE,NA,NA
"TEAD1_peak_100","chr1",18965757,18966116,360,3,"IFFO2","126917","Distal Intergenic",-9081,28256,FALSE,FALSE,NA,NA
"TEAD1_peak_101","chr1",18997512,18997877,366,3,"IFFO2","126917","Distal Intergenic",-40836,60011,FALSE,FALSE,NA,NA
"TEAD1_peak_102","chr1",19009855,19010568,714,3,"IFFO2","126917","Distal Intergenic",-53179,58432,FALSE,FALSE,NA,NA
"TEAD1_peak_103","chr1",19011028,19011305,278,3,"IFFO2","126917","Distal Intergenic",-54352,57695,FALSE,FALSE,NA,NA
"TEAD1_peak_104","chr1",19045395,19045998,604,3,"UBR4","23352","Distal Intergenic",31829,23002,FALSE,FALSE,NA,NA
"TEAD1_peak_105","chr1",19067051,19067461,411,2,"UBR4","23352","Distal Intergenic",10366,1539,FALSE,TRUE,NA,NA
"TEAD1_peak_106","chr1",19096185,19096402,218,2,"UBR4","23352","Promoter (<=1kb)",-263,2684,FALSE,TRUE,NA,NA
"TEAD1_peak_107","chr1",19734775,19734955,181,3,"TMCO4","255104","Intron (ENST00000375127.5/255104, intron 12 of 15)",3464,16545,FALSE,FALSE,NA,NA
"TEAD1_peak_108","chr1",19738218,19738301,84,2,"TMCO4","255104","Promoter (<=1kb)",118,13199,FALSE,FALSE,NA,NA
"TEAD1_peak_109","chr1",19758339,19758800,462,3,"TMCO4","255104","Intron (ENST00000375127.5/255104, intron 5 of 15)",12627,6338,FALSE,FALSE,NA,NA
"TEAD1_peak_110","chr1",19759652,19759962,311,3,"TMCO4","255104","Intron (ENST00000375127.5/255104, intron 5 of 15)",11465,7651,FALSE,FALSE,NA,NA
"TEAD1_peak_111","chr1",19765504,19766069,566,3,"TMCO4","255104","Intron (ENST00000375127.5/255104, intron 5 of 15)",5358,13503,FALSE,FALSE,NA,NA
"TEAD1_peak_112","chr1",19790694,19790958,265,3,"TMCO4","255104","Intron (ENST00000375127.5/255104, intron 1 of 15)",8386,5042,FALSE,FALSE,NA,NA
"TEAD1_peak_113","chr1",19893999,19894415,417,3,"OTUD3","23252","Exon (ENST00000375120.4/23252, exon 3 of 8)",3541,97498,FALSE,FALSE,NA,NA
"TEAD1_peak_114","chr1",20613764,20614128,365,2,"PINK1","65018","Exon (ENST00000375071.4/978, exon 3 of 4)",-19330,3872,FALSE,TRUE,NA,NA
"TEAD1_peak_115","chr1",20698597,20698808,212,2,"KIF17","57576","Promoter (<=1kb)",-158,1192,FALSE,TRUE,NA,NA
"TEAD1_peak_116","chr1",21043326,21043750,425,2,"EIF4G3","8672","Intron (ENST00000374935.7/8672, intron 4 of 32)",7200,66250,FALSE,FALSE,NA,NA
"TEAD1_peak_117","chr1",21149642,21150206,565,3,"EIF4G3","8672","Intron (ENST00000374935.7/8672, intron 2 of 32)",17833,9294,FALSE,FALSE,NA,NA
"TEAD1_peak_118","chr1",21238491,21238669,179,2,"ECE1","1889","Promoter (<=1kb)",-141,1331,FALSE,TRUE,NA,NA
"TEAD1_peak_119","chr1",21264871,21265280,410,3,"LOC124903872","124903872","Promoter (<=1kb)",-802,720,FALSE,TRUE,NA,NA
"TEAD1_peak_120","chr1",21310989,21311367,379,3,"ECE1","1889","Intron (ENST00000415912.6/1889, intron 1 of 18)",-11990,7633,FALSE,FALSE,NA,NA
"TEAD1_peak_121","chr1",21703584,21703849,266,2,"USP48","84196","Promoter (<=1kb)",766,26651,FALSE,FALSE,NA,NA
"TEAD1_peak_122","chr1",21764822,21765416,595,3,"USP48","84196","Intron (ENST00000308271.14/84196, intron 1 of 26)",16604,8321,FALSE,FALSE,NA,NA
"TEAD1_peak_123","chr1",21862053,21862365,313,3,"HSPG2","3339","Exon (ENST00000374695.8/3339, exon 38 of 97)",-7397,2552,FALSE,TRUE,NA,NA
"TEAD1_peak_124","chr1",21869878,21870096,219,2,"HSPG2","3339","Promoter (2-3kb)",2281,10377,FALSE,FALSE,NA,NA
"TEAD1_peak_125","chr1",22689594,22689746,153,3,"EPHB2","2048","Distal Intergenic",-21093,3593,FALSE,TRUE,NA,NA
"TEAD1_peak_126","chr1",23100168,23100379,212,3,"KDM1A","23028","Intron (ENST00000475164.3/7798, intron 3 of 4)",20805,13121,FALSE,FALSE,NA,NA
"TEAD1_peak_127","chr1",23194306,23194964,659,3,"LUZP1","7798","5' UTR",-16154,36,FALSE,TRUE,NA,NA
"TEAD1_peak_128","chr1",23196934,23197379,446,3,"LUZP1","7798","Intron (ENST00000374619.2/3352, intron 1 of 1)",-18782,121,FALSE,TRUE,NA,NA
"TEAD1_peak_129","chr1",23198340,23198649,310,3,"HTR1D","3352","Intron (ENST00000374619.2/3352, intron 1 of 1)",18853,339,FALSE,TRUE,NA,NA
"TEAD1_peak_130","chr1",23377312,23377704,393,3,"ZNF436-AS1","148898","Distal Intergenic",7058,9296,FALSE,FALSE,NA,NA
"TEAD1_peak_131","chr1",23456230,23456441,212,2,"ASAP3","55616","Intron (ENST00000336689.8/55616, intron 1 of 24)",-13959,12229,FALSE,FALSE,NA,NA
"TEAD1_peak_132","chr1",23555056,23555219,164,2,"ID3","3399","Distal Intergenic",3856,8555,FALSE,FALSE,NA,NA
"TEAD1_peak_133","chr1",23555878,23557113,1236,3,"ID3","3399","Promoter (1-2kb)",1962,9377,FALSE,FALSE,NA,NA
"TEAD1_peak_134","chr1",23562284,23562452,169,3,"ID3","3399","Promoter (2-3kb)",-2783,5048,FALSE,FALSE,NA,NA
"TEAD1_peak_135","chr1",23576627,23577479,853,3,"MDS2","259283","Exon (ENST00000648225.1/107984928, exon 4 of 4)",-4016,8626,FALSE,FALSE,NA,NA
"TEAD1_peak_136","chr1",24008691,24008751,61,2,"SRSF10","10772","Distal Intergenic",-27764,1690,FALSE,TRUE,NA,NA
"TEAD1_peak_137","chr1",24008760,24008940,181,2,"SRSF10","10772","Distal Intergenic",-27833,1759,FALSE,TRUE,NA,NA
"TEAD1_peak_138","chr1",24009219,24009685,467,2,"SRSF10","10772","Distal Intergenic",-28292,2218,FALSE,TRUE,NA,NA
"TEAD1_peak_139","chr1",24018799,24019164,366,3,"LOC107984931","107984931","Distal Intergenic",-21671,9836,FALSE,FALSE,NA,NA
"TEAD1_peak_140","chr1",24266455,24266805,351,3,"GRHL3","57822","Intron (ENST00000690803.1/57822, intron 2 of 15)",-51959,20954,FALSE,FALSE,NA,NA
"TEAD1_peak_141","chr1",24277459,24277627,169,2,"GRHL3","57822","Intron (ENST00000690803.1/57822, intron 2 of 15)",-41137,31958,FALSE,FALSE,NA,NA
"TEAD1_peak_142","chr1",24375017,24375582,566,3,"STPG1","90529","Intron (ENST00000337248.9/90529, intron 5 of 8)",4241,3016,FALSE,TRUE,NA,NA
"TEAD1_peak_143","chr1",24417047,24417206,160,3,"STPG1","90529","Promoter (<=1kb)",-113,30046,FALSE,FALSE,NA,NA
"TEAD1_peak_144","chr1",24419319,24419481,163,3,"STPG1","90529","Promoter (2-3kb)",-2385,32318,FALSE,FALSE,NA,NA
"TEAD1_peak_145","chr1",24443003,24443573,571,3,"NIPAL3","57185","Intron (ENST00000374399.9/57185, intron 4 of 11)",-12593,38927,FALSE,FALSE,NA,NA
"TEAD1_peak_146","chr1",24515500,24515728,229,2,"RCAN3","11123","Promoter (1-2kb)",1127,26272,FALSE,FALSE,NA,NA
"TEAD1_peak_147","chr1",24619318,24619903,586,3,"SRRM1","10250","Distal Intergenic",-13163,26097,FALSE,FALSE,NA,NA
"TEAD1_peak_148","chr1",25696022,25696212,191,2,"MAN1C1","57134","Intron (ENST00000374332.9/57134, intron 2 of 11)",9520,2288,FALSE,TRUE,NA,NA
"TEAD1_peak_149","chr1",25708188,25708563,376,2,"MAN1C1","57134","Promoter (1-2kb)",-1039,9187,FALSE,FALSE,NA,NA
"TEAD1_peak_150","chr1",25819200,25819340,141,3,"MTFR1L","56181","Promoter (<=1kb)",560,199,FALSE,TRUE,NA,NA
"TEAD1_peak_151","chr1",25892361,25892725,365,3,"STMN1","3925","Promoter (<=1kb)",0,25775,FALSE,FALSE,NA,NA
"TEAD1_peak_152","chr1",26239956,26240506,551,3,"CEP85","64793","Intron (ENST00000640292.2/64793, intron 2 of 12)",5754,5494,FALSE,FALSE,NA,NA
"TEAD1_peak_153","chr1",26772748,26772988,241,3,"ARID1A","8289","Promoter (<=1kb)",0,1512,FALSE,TRUE,NA,NA
"TEAD1_peak_154","chr1",26849104,26849364,261,2,"ZDHHC18","84243","Promoter (<=1kb)",-998,636,FALSE,TRUE,NA,NA
"TEAD1_peak_155","chr1",26999478,26999711,234,3,"TRNP1","388610","Intron (ENST00000522111.3/388610, intron 1 of 1)",5159,28789,FALSE,FALSE,NA,NA
"TEAD1_peak_156","chr1",27299454,27299762,309,3,"WDTC1","23038","Intron (ENST00000319394.8/23038, intron 12 of 15)",-5252,30738,FALSE,FALSE,NA,NA
"TEAD1_peak_157","chr1",27505167,27505397,231,2,"WASF2","10163","Distal Intergenic",-15000,12103,FALSE,FALSE,NA,NA
"TEAD1_peak_158","chr1",27540578,27540760,183,2,"AHDC1","27245","Intron (ENST00000247087.10/27245, intron 5 of 5)",12785,7240,FALSE,FALSE,NA,NA
"TEAD1_peak_159","chr1",27650683,27651021,339,3,"LINC02574","111216282","Distal Intergenic",11701,31682,FALSE,FALSE,NA,NA
"TEAD1_peak_160","chr1",28098380,28098744,365,3,"EYA3","2140","Distal Intergenic",-9743,29756,FALSE,FALSE,NA,NA
"TEAD1_peak_161","chr1",28122263,28122561,299,3,"EYA3","2140","Intron (ENST00000687303.1/ENST00000687303.1, intron 2 of 2)",-33626,5939,FALSE,FALSE,NA,NA
"TEAD1_peak_162","chr1",28123637,28123892,256,2,"EYA3","2140","Intron (ENST00000687303.1/ENST00000687303.1, intron 2 of 2)",-35000,4608,FALSE,TRUE,NA,NA
"TEAD1_peak_163","chr1",28392081,28392223,143,2,"PHACTR4","65979","Intron (ENST00000633371.1/65979, intron 1 of 4)",22337,10080,FALSE,FALSE,NA,NA
"TEAD1_peak_164","chr1",28438051,28438221,171,3,"PHACTR4","65979","Promoter (<=1kb)",0,4050,FALSE,TRUE,NA,NA
"TEAD1_peak_165","chr1",28505806,28506012,207,2,"RCC1","1104","Promoter (<=1kb)",0,14988,FALSE,FALSE,NA,NA
"TEAD1_peak_166","chr1",28508967,28509369,403,3,"SNORA73B","26768","Promoter (<=1kb)",408,11631,FALSE,FALSE,NA,NA
"TEAD1_peak_167","chr1",28648741,28649013,273,3,"RNU11","26824","Promoter (<=1kb)",141,10987,FALSE,FALSE,NA,NA
"TEAD1_peak_168","chr1",28972394,28972890,497,3,"EPB41","2035","Intron (ENST00000647103.1/2035, intron 1 of 17)",-14608,42110,FALSE,FALSE,NA,NA
"TEAD1_peak_169","chr1",29124383,29124928,546,2,"TMEM200B","399474","Promoter (<=1kb)",-480,7572,FALSE,FALSE,NA,NA
"TEAD1_peak_170","chr1",29147140,29147314,175,3,"SRSF4","6429","Distal Intergenic",12226,1686,FALSE,TRUE,NA,NA
"TEAD1_peak_171","chr1",29189873,29190049,177,2,"SRSF4","6429","Distal Intergenic",-7973,40372,FALSE,FALSE,NA,NA
"TEAD1_peak_172","chr1",29271850,29272099,250,3,"PTPRU","10076","Intron (ENST00000345512.7/10076, intron 7 of 30)",-7452,3401,FALSE,TRUE,NA,NA
"TEAD1_peak_173","chr1",29331845,29332261,417,3,"PTPRU","10076","Intron (ENST00000417651.1/101928460, intron 2 of 2)",8627,55844,FALSE,FALSE,NA,NA
