"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","27/1985","73/9500",0.00111544982615415,0.00720278682438738,0.00468420800739046,"1647/10000/3799/595/3845/5925/5579/6774/4616/5605/238/6654/27436/7039/3800/5915/2272/5291/1950/5295/51426/1871/2309/1956/1021/4233/6256",27
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","23/1985","59/9500",0.00111767381757735,0.00720278682438738,0.00468420800739046,"1647/10000/29119/6934/595/3845/999/4616/5605/6654/1496/4292/1499/2932/5291/1950/5295/51426/6932/1495/2309/1956/4609",23
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","36/1985","106/9500",0.00116248393770791,0.00735535291495184,0.00478342672932439,"10000/6935/5328/6934/90993/595/2352/4314/3845/3479/2308/5925/3480/596/5605/6654/7039/7850/1385/7113/5155/2033/1499/2932/5291/2119/5156/1950/56034/5295/6932/1871/9586/1956/64764/367",36
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","28/1985","77/9500",0.00123413712014757,0.0075347318914273,0.00490008274850837,"3716/1647/7042/10000/595/3845/5925/4088/6774/10928/4089/4616/7039/598/7048/5291/5337/5602/1950/5295/51426/5601/1871/5879/5898/1956/1021/7046",28
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","60/1985","201/9500",0.00155969641220694,0.00834896009369702,0.00542960199680841,"7709/5081/1647/440686/5087/6935/5328/3087/7490/4005/4314/7704/2313/2120/466/6667/1848/3479/2321/2308/4149/597/9915/3480/1655/6760/84444/4616/4298/7850/7849/5077/598/861/7113/5468/7048/2119/604/7468/3576/4086/51426/4208/1437/8464/860/3066/2115/3569/3486/5218/4233/51384/4609/5747/7185/5090/6256/2892",60
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","16/1985","37/9500",0.00176394024731608,0.00916000039503882,0.0059570480488002,"1647/7175/6934/595/3845/999/4616/5605/7849/5468/1499/10342/51426/6932/4609/6256",16
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","25/1985","70/9500",0.0029234189417992,0.0139362985170702,0.00906323103802204,"6513/3725/5906/7042/54583/2271/10000/8453/2113/3845/9915/1398/5605/6654/2034/7039/5155/9978/2033/5291/5295/5879/4233/2889/5063",25
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","16/1985","41/9500",0.00605125969827282,0.0239299815340789,0.0155624501809648,"595/3845/5925/7057/4313/999/1613/5605/2261/3576/1950/1839/1871/1956/4609/1612",16
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","31/1985","99/9500",0.00950643083379737,0.033757529899607,0.0219536265227329,"8613/3725/8394/10000/3845/6667/10810/160851/5579/5605/8605/6654/8527/56261/5155/5291/5337/1608/5156/5602/1950/56034/5295/6584/5601/5879/1956/9162/6009/23446/9468",31
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","12/1985","29/9500",0.00982353096761811,0.034185887767311,0.0222322016635568,"7003/10413/26524/84962/122786/4771/8994/25937/166824/79633/23286/6788",12
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","39/1985","137/9500",0.0209987167193088,0.0641013457747323,0.0416872030900406,"3725/1647/4803/4000/356/824/10000/79861/8772/1075/100506742/7132/3845/3709/317/597/9020/2081/596/4616/5605/27429/10018/8837/598/1522/1439/5291/8743/5602/5295/5601/8737/4217/54205/1514/1515/7185/153090",39
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","20/1985","63/9500",0.028556397427224,0.0814559533169997,0.0529734723628401,"1647/7482/8325/6934/81029/652/7473/4616/7476/1499/7474/2932/51426/6932/2737/8321/51384/6469/8323/5727",20
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","22/1985","75/9500",0.0523009436395637,0.132275960857679,0.086023386522689,"1647/92344/64326/84883/3732/595/317/3479/7057/6477/596/4616/55240/598/51512/896/64065/54205/3486/1021/5054/50484",22
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","21/1985","71/9500",0.0526256785787006,0.132275960857679,0.086023386522689,"6513/10000/5214/80201/3098/3939/3845/4916/5605/2744/5162/5291/2261/5156/5161/5295/2645/1956/4233/4609/5160",21
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","25/1985","90/9500",0.072315869605396,0.170040017720796,0.1105825886569,"3725/3716/919/55509/10000/7189/3845/10125/5606/6774/5605/148022/238/27436/940/4773/3460/5291/5530/1950/7097/5295/3459/1956/5533",25
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","10/1985","32/9500",0.112980509636615,0.245732608459638,0.159807957709686,"8772/7132/317/596/27429/10018/598/5602/5601/54205",10
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","38/1985","158/9500",0.186863686594565,0.350424226528445,0.227892343326121,"7709/1647/7042/9184/7465/595/5925/5529/4088/90381/7531/996/10403/4089/4616/5518/10971/9978/2033/2932/25847/7029/23244/25836/902/8697/1871/896/3066/8379/10926/1021/5591/7534/27085/4609/25/55869",38
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","63/1985","320/9500",0.726486720046486,0.899705973580701,0.585108240531914,"6464/406988/7042/6935/5328/960/595/5962/406911/3845/3678/6541/23405/7057/90427/399694/5579/1398/6774/7473/3690/10642/6093/596/5605/6654/5581/10018/2744/3667/9759/1591/406885/406947/7078/5155/2033/27086/5291/407020/8626/2261/5156/5295/1946/1871/6659/5292/407029/4082/3066/6624/1956/1021/4233/2146/23414/4609/407035/3190/3371/25/407007",63
