"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Shared","GO:0032970","regulation of actin filament-based process","74/1631","395/18986",0.187341772151899,2.18079146908397,7.27009944505996,1.0781441304384e-10,5.75924991859637e-08,4.6045523963125e-08,"2475/163782/5142/5999/10602/130271/5581/6711/55704/1496/23332/9839/390/10787/23671/406929/11170/2042/90102/5217/5062/683/9353/22998/5156/2044/817/9037/5144/10788/2150/1946/26999/4739/1906/93663/857/4233/136319/27067/51571/23189/25/6840/8829/23075/5058/85458/2059/93661/10810/5587/122786/342184/29767/84952/7168/4088/11214/23406/57551/3690/54828/3759/4089/2909/8195/51126/4771/4627/7114/2824/5063/2258",74
"Shared","GO:0051056","regulation of small GTPase mediated signal transduction","61/1631","300/18986",0.203333333333333,2.36694461475577,7.31599408598969,1.63358291278204e-10,7.8291318185085e-08,6.25943450718417e-08,"10451/79574/7042/57568/6654/10617/9448/1123/3685/55619/50650/6091/604/9353/10144/10252/79658/7204/64283/2150/23092/1794/9750/93663/57480/26230/9265/1124/64759/26053/4233/23362/137735/51571/81704/23189/19/79109/25/8829/23075/8301/50937/9743/55200/2059/83892/221178/90627/23348/84952/11214/29/201176/10928/10982/23094/2909/57186/7074/27128",61
"Shared","GO:0007411","axon guidance","52/1631","236/18986",0.220338983050847,2.56490247222771,7.41587864579429,1.81256358044467e-10,7.8291318185085e-08,6.25943450718417e-08,"55740/9637/6654/3800/1123/8828/8609/2043/27255/7474/6091/2042/214/9353/323/2044/658/8633/23022/9037/7204/1946/26999/1906/2534/3908/2115/2737/10512/10371/223117/4897/91584/6469/4147/2131/5747/4781/3799/8829/84665/9211/5795/9638/4753/6477/4089/2909/1002/351/170302/4693",52
"Shared","GO:0007044","cell-substrate junction assembly","30/1631","96/18986",0.3125,3.63772225628449,7.94270940564166,2.04767819160027e-10,7.8291318185085e-08,6.25943450718417e-08,"23499/8394/3915/11037/9448/3987/23332/3655/11170/2042/90102/22998/3791/1946/667/5747/25/8829/7414/10580/1308/5795/23603/342184/4088/79834/1009/3690/3909/2824",30
"Shared","GO:0014706","striated muscle tissue development","77/1631","424/18986",0.181603773584906,2.11399708478419,7.11171871126642,2.0865058250047e-10,7.8291318185085e-08,6.25943450718417e-08,"2475/59269/1301/5999/467/3776/7042/10472/51542/10791/4036/1134/2660/9686/9975/5915/2317/27086/3516/5156/84525/5530/2247/57486/4208/84466/6444/1906/3720/221662/221496/1310/64208/9474/2697/23345/9734/10512/857/136319/6469/3084/23414/7373/406987/25/10529/6840/657/7093/406/55553/50937/688/9472/8854/7168/4088/11214/124872/3131/8736/4729/2627/80206/4089/8932/115701/56261/57158/2139/1827/861/9215/1756/407007/7547",77
"Shared","GO:0097485","neuron projection guidance","52/1631","237/18986",0.219409282700422,2.55408009892717,7.38037603133612,2.13182622695943e-10,7.8291318185085e-08,6.25943450718417e-08,"55740/9637/6654/3800/1123/8828/8609/2043/27255/7474/6091/2042/214/9353/323/2044/658/8633/23022/9037/7204/1946/26999/1906/2534/3908/2115/2737/10512/10371/223117/4897/91584/6469/4147/2131/5747/4781/3799/8829/84665/9211/5795/9638/4753/6477/4089/2909/1002/351/170302/4693",52
"Shared","GO:0150115","cell-substrate junction organization","31/1631","103/18986",0.300970873786408,3.50351502741186,7.81004058398127,2.96226720522857e-10,1.02389894693665e-07,8.18612912503722e-08,"23499/8394/3915/11037/9448/3987/23332/3655/11170/2042/90102/22998/3791/1946/667/5747/25/8829/7414/10580/1308/5795/23603/342184/4088/79834/1009/3690/3909/10982/2824",31
"Shared","GO:0072001","renal system development","64/1631","332/18986",0.192771084337349,2.24399252435862,7.01004487959909,5.92315921261691e-10,1.92411088143353e-07,1.53833736946685e-07,"4774/7482/3158/5087/7042/6382/7849/4036/2043/5915/7474/25937/9353/5156/5311/5530/255743/2028/2247/10252/170690/25836/4208/2246/654/1906/7021/6492/10758/168667/2737/9863/5420/6469/23213/284/2131/203286/8829/80114/84159/8879/51196/2674/847/23279/8772/282679/8549/317/8100/341640/342184/2200/8854/4643/9245/4091/4088/6928/3690/4089/182/2719",64
"Shared","GO:0043062","extracellular structure organization","65/1631","340/18986",0.191176470588235,2.22543008619757,6.98964517409031,6.2215974723004e-10,1.92411088143353e-07,1.53833736946685e-07,"10218/3491/255631/1301/4921/1805/3915/7042/7837/5212/23332/1803/1295/25890/90102/151887/5352/323/5156/9508/255743/7092/170690/81792/133584/7045/1310/1297/1303/3908/3569/1278/3912/857/10049/55790/4017/23213/4147/2131/7373/92949/25/140766/7093/84171/1308/283208/9313/4322/256764/4643/302/4088/79875/170691/170692/3690/56155/4089/351/861/80781/9215/2824",65
"Shared","GO:0010810","regulation of cell-substrate adhesion","49/1631","223/18986",0.219730941704036,2.55782443849959,7.17364328230133,6.68042286385155e-10,1.96270823739959e-07,1.56919617059839e-07,"23499/3491/5212/5581/9448/3987/23332/3655/11170/2042/1295/25890/90102/151887/6480/604/683/22998/3791/255743/133584/1946/6695/2651/4739/7402/10551/1021/80005/59339/5747/23189/25/8829/5328/7414/5795/23603/342184/4088/79834/1012/3690/81/182/54453/4771/2824/8573",49
"Shared","GO:0001822","kidney development","62/1631","322/18986",0.192546583850932,2.24137917902746,6.88731588322297,1.15227446390548e-09,3.22417369043267e-07,2.57774482827577e-07,"7482/3158/5087/7042/6382/7849/4036/2043/5915/7474/25937/9353/5156/5311/5530/255743/2028/2247/10252/170690/25836/4208/2246/654/1906/7021/6492/10758/168667/2737/9863/5420/6469/23213/284/2131/203286/8829/80114/84159/8879/51196/2674/847/23279/8772/282679/317/8100/341640/342184/2200/8854/4643/9245/4091/4088/6928/3690/4089/182/2719",62
"Shared","GO:0030900","forebrain development","74/1631","416/18986",0.177884615384615,2.07070343819271,6.76908368070043,1.22622711363598e-09,3.27514114532955e-07,2.61849359241979e-07,"23028/84879/6513/1600/431707/7482/4808/238/7852/4036/8828/55054/5915/7474/27086/6091/6434/9353/3516/170825/2044/306/2247/79633/166614/9037/1767/57688/2890/5454/2534/2737/1956/10371/1021/3912/91584/26047/6469/79648/157680/2131/83696/4781/4915/8829/657/6506/85458/9638/50937/54407/317/23603/9201/5101/23224/64398/8854/3480/999/23035/1000/2909/23236/8195/22903/351/4771/9215/139411/170302/7547/2258",74
"Shared","GO:0030198","extracellular matrix organization","64/1631","339/18986",0.188790560471976,2.19765639553706,6.82099253017337,1.42893580478136e-09,3.65062034299795e-07,2.91869130285548e-07,"10218/3491/255631/1301/4921/1805/3915/7042/7837/5212/23332/1803/1295/25890/90102/151887/5352/323/5156/9508/255743/7092/170690/81792/133584/7045/1310/1297/1303/3908/3569/1278/3912/857/10049/55790/4017/23213/4147/2131/7373/92949/25/140766/7093/84171/1308/283208/9313/4322/256764/4643/302/4088/79875/170691/170692/3690/4089/351/861/80781/9215/2824",64
"Shared","GO:0048638","regulation of developmental growth","62/1631","325/18986",0.190769230769231,2.22068952506721,6.80455007072527,1.68609716730461e-09,4.1281278979508e-07,3.30046125336864e-07,"23499/84879/23566/5999/3776/11221/2355/7852/2660/4133/9686/7474/27086/27230/3516/84525/2247/80014/9037/25836/4131/4208/1946/154/1906/3720/22999/5454/10551/10371/4897/91584/3084/6788/23414/7373/158376/406987/25/8829/8879/657/7093/57609/8825/1848/8835/9472/79068/999/6928/6774/2627/23327/23236/8195/1002/351/861/170302/407007/2258",62
"Shared","GO:0045229","external encapsulating structure organization","64/1631","341/18986",0.187683284457478,2.18476691521133,6.76782134571985,1.82634362221136e-09,4.29263804964557e-07,3.43198803618075e-07,"10218/3491/255631/1301/4921/1805/3915/7042/7837/5212/23332/1803/1295/25890/90102/151887/5352/323/5156/9508/255743/7092/170690/81792/133584/7045/1310/1297/1303/3908/3569/1278/3912/857/10049/55790/4017/23213/4147/2131/7373/92949/25/140766/7093/84171/1308/283208/9313/4322/256764/4643/302/4088/79875/170691/170692/3690/4089/351/861/80781/9215/2824",64
"Shared","GO:0032956","regulation of actin cytoskeleton organization","65/1631","352/18986",0.184659090909091,2.14956315144083,6.67376780793602,2.69822676705014e-09,6.09799249353331e-07,4.87537897220435e-07,"2475/163782/5999/10602/130271/5581/6711/55704/1496/23332/390/10787/23671/406929/11170/2042/90102/5217/5062/683/9353/22998/5156/2044/9037/10788/2150/1946/26999/4739/1906/93663/4233/136319/27067/51571/23189/25/6840/8829/23075/5058/85458/2059/93661/10810/5587/342184/29767/84952/7168/4088/11214/23406/57551/3690/54828/4089/2909/8195/51126/4771/7114/2824/5063",65
"Shared","GO:0060070","canonical Wnt signaling pathway","62/1631","332/18986",0.186746987951807,2.17386775797242,6.61488353424281,3.99723650347252e-09,8.48436450190693e-07,6.78329668804604e-07,"10076/55182/7482/6382/9736/9839/130574/27303/8994/7474/5523/25937/3516/4790/2247/23240/9037/1501/324/4163/1456/100113407/1906/7162/2309/84870/2737/1956/857/51384/6469/6788/8323/2131/23189/4300/7091/7088/9314/219771/80114/3087/6934/27122/406/100422991/85458/81029/8549/122011/2308/53944/4088/7090/6477/64750/1000/4089/351/10159/4693/2719",62
"Shared","GO:0001654","eye development","72/1631","411/18986",0.175182481751825,2.03924868089525,6.52974097653751,4.04292386067723e-09,8.48436450190693e-07,6.78329668804604e-07,"2782/10218/65979/84879/4774/6121/8412/7482/5087/356/23418/7042/7837/6654/2202/6670/7068/5915/7474/1295/55764/5523/5584/86/5156/3791/658/2247/10252/2823/2195/25836/654/5961/7021/2697/221935/340273/2737/1956/51384/28996/6469/6101/27067/79977/22882/4781/4915/9314/8829/120114/50937/81029/8076/341640/57381/23093/2200/8854/4088/170692/6774/8736/23094/56006/2909/182/631/4771/9215/4693",72
"Shared","GO:0021537","telencephalon development","55/1631","281/18986",0.195729537366548,2.27843102172979,6.6186829272386,5.42321170846162e-09,1.07937146243392e-06,8.62963497696714e-07,"23028/84879/6513/1600/238/7852/55054/5915/7474/27086/6091/6434/9353/170825/2044/306/79633/166614/1767/57688/2890/5454/2737/1956/10371/1021/3912/91584/26047/6469/79648/157680/2131/83696/4781/4915/6506/85458/9638/50937/54407/23603/23224/64398/3480/23035/1000/23236/8195/22903/4771/9215/170302/7547/2258",55
"Shared","GO:0048880","sensory system development","73/1631","422/18986",0.172985781990521,2.01367753333663,6.45565389986413,5.5107460641623e-09,1.07937146243392e-06,8.62963497696714e-07,"2782/10218/65979/84879/4774/6121/8412/7482/5087/356/23418/7042/7837/6654/2202/6670/7068/5915/7474/1295/55764/5523/5584/86/5156/3791/658/2247/10252/2823/2195/25836/654/5961/7021/2697/221935/340273/2737/1956/10371/51384/28996/6469/6101/27067/79977/22882/4781/4915/9314/8829/120114/50937/81029/8076/341640/57381/23093/2200/8854/4088/170692/6774/8736/23094/56006/2909/182/631/4771/9215/4693",73
"Shared","GO:0150063","visual system development","72/1631","415/18986",0.173493975903614,2.01959327192276,6.43803504788417,6.17274777180431e-09,1.17003438410071e-06,9.35449008677848e-07,"2782/10218/65979/84879/4774/6121/8412/7482/5087/356/23418/7042/7837/6654/2202/6670/7068/5915/7474/1295/55764/5523/5584/86/5156/3791/658/2247/10252/2823/2195/25836/654/5961/7021/2697/221935/340273/2737/1956/51384/28996/6469/6101/27067/79977/22882/4781/4915/9314/8829/120114/50937/81029/8076/341640/57381/23093/2200/8854/4088/170692/6774/8736/23094/56006/2909/182/631/4771/9215/4693",72
"Shared","GO:0007517","muscle organ development","66/1631","369/18986",0.178861788617886,2.08207842961324,6.43482952403992,7.6986490174063e-09,1.41366442582123e-06,1.13023258436462e-06,"59269/1301/467/7042/84976/10472/51542/10791/4036/1134/2660/5077/1293/9975/2317/4638/27230/2121/3516/5530/57486/4208/84466/6444/221662/9750/221496/1310/64208/2697/3908/7402/2115/9734/8910/857/136319/6469/3084/157680/23414/6840/84159/657/7093/406/55553/50937/688/6938/7168/23060/4088/22801/1106/55352/124872/3131/8736/4089/56261/57158/1827/9215/1756/2273",66
"Shared","GO:0001952","regulation of cell-matrix adhesion","32/1631","125/18986",0.256,2.98002207234825,6.80867575915838,1.3151675804138e-08,2.34179536439742e-06,1.87227844063374e-06,"23499/9448/3987/23332/11170/2042/90102/604/683/22998/3791/1946/7402/1021/59339/5747/25/8829/5328/7414/5795/23603/342184/4088/79834/1012/3690/182/54453/4771/2824/8573",32
"Shared","GO:0043087","regulation of GTPase activity","42/1631","193/18986",0.217616580310881,2.53321176810692,6.56300467904429,1.47234840878338e-08,2.54456448529739e-06,2.03439348247685e-06,"8412/10451/5906/8394/5996/163486/9448/3987/8502/3655/1123/2043/55619/23677/7474/2042/2044/112574/2150/1946/51735/51256/9750/26230/1124/4233/50807/5747/81704/4915/23637/9712/22841/55785/23603/23348/9628/29/10928/10982/57186/7074",42
"Shared","GO:0007015","actin filament organization","77/1631","465/18986",0.165591397849462,1.9276016429,6.20834355851482,1.52361276608195e-08,2.55792817528502e-06,2.04507782707482e-06,"2475/163782/1266/5999/55740/10602/130271/5581/6711/55704/1496/23332/9839/390/7456/10787/23671/406929/11170/90102/3693/5217/5584/5062/9353/22998/57619/2195/9037/10788/2150/1729/26999/4739/10486/4082/93663/55607/4233/8976/800/136319/51571/23189/25/10529/6840/8829/9124/10580/23075/9645/5058/2059/93661/5074/23603/10810/81624/57381/342184/29767/84952/4643/7168/4088/23406/9050/4645/2909/8195/57553/4771/7114/30011/57477/5063",77
"Shared","GO:0061448","connective tissue development","55/1631","290/18986",0.189655172413793,2.20772109346921,6.35347423457225,1.71832671004858e-08,2.80469104117929e-06,2.24236611314234e-06,"4774/3491/1301/7482/3158/5396/9462/2355/2202/23314/8609/5915/406929/5745/7474/2121/10891/658/2247/81792/4208/7045/654/1906/860/3696/2737/64764/55790/4017/23213/10499/157680/7227/2131/4781/4969/84159/657/3988/55553/960/4322/81029/6660/5744/9971/4088/22856/79068/3690/9658/8195/861/9215",55
"Shared","GO:0002009","morphogenesis of an epithelium","81/1631","500/18986",0.162,1.88579521765788,6.15342386174074,1.76634287086722e-08,2.80514343492318e-06,2.24272780446099e-06,"2475/65979/3491/7482/5087/92344/7042/10890/6654/7849/23332/7852/4036/3685/23671/2043/7474/27086/90102/3693/55764/8626/9353/3516/3791/5311/255743/2247/10252/2195/170690/81792/10468/4208/2246/2908/94234/1906/2697/84870/25902/2099/2737/1956/10512/4233/51384/5420/6469/23213/6788/79977/8323/2131/9314/3371/25/8829/7414/9645/960/26005/5058/81029/8549/317/90627/341640/64398/342184/8854/4088/6928/3690/4089/634/2909/8195/182/2719/7547",81
"Shared","GO:0007229","integrin-mediated signaling pathway","29/1631","111/18986",0.261261261261261,3.04126689534415,6.61207504240973,3.83123399228727e-08,5.92429761544211e-06,4.73650894946762e-06,"65979/10451/3915/3987/3694/3655/3685/3680/3693/683/7006/2533/55914/1495/4739/667/3908/3696/3912/1015/5747/25/8829/81624/5587/22801/3690/634/4627",29
"Shared","GO:0003148","outflow tract septum morphogenesis","13/1631","26/18986",0.5,5.82035561005518,7.53991687906595,4.73917099304193e-08,7.14035096284984e-06,5.70875037569397e-06,"7042/4036/8828/5915/6091/10512/23414/8829/657/55742/4091/2627/4089",13
"Shared","GO:0060828","regulation of canonical Wnt signaling pathway","52/1631","276/18986",0.188405797101449,2.19317747625268,6.12128592822033,5.24780231664679e-08,7.70902160315413e-06,6.16340572084069e-06,"10076/55182/9736/9839/130574/27303/8994/7474/5523/25937/3516/4790/2247/23240/9037/1501/324/4163/1456/100113407/7162/2309/84870/2737/1956/857/6469/6788/8323/23189/4300/7091/7088/219771/80114/3087/6934/27122/406/100422991/8549/122011/2308/53944/4088/7090/64750/1000/4089/351/10159/2719",52
"Shared","GO:0021543","pallium development","41/1631","195/18986",0.21025641025641,2.44753415397192,6.22861017921637,6.0471253889338e-08,8.66656311838415e-06,6.92896549699911e-06,"23028/84879/6513/1600/238/55054/6091/6434/9353/2044/306/79633/166614/2890/5454/2737/1956/1021/3912/26047/79648/157680/83696/4915/85458/9638/50937/54407/23224/64398/3480/23035/1000/23236/8195/22903/4771/9215/170302/7547/2258",41
"Shared","GO:0048041","focal adhesion assembly","24/1631","85/18986",0.282352941176471,3.2867890503841,6.47758541060912,1.14911793973252e-07,1.60767071758769e-05,1.2853416954953e-05,"23499/8394/11037/9448/3987/23332/11170/2042/90102/22998/3791/1946/5747/25/8829/7414/10580/5795/23603/342184/4088/79834/1009/2824",24
"Shared","GO:0031346","positive regulation of cell projection organization","62/1631","363/18986",0.170798898071625,1.98822064916486,5.82776978557944,1.24302879963328e-07,1.69861330852213e-05,1.35805080361404e-05,"2475/23028/23499/23566/79574/5906/4921/5362/238/10602/55704/3655/10787/2660/2043/22906/7474/6091/2042/5274/5584/22871/9353/2823/9037/4131/8507/2150/1946/324/57451/4739/9750/55754/1268/2534/26230/26053/9863/8976/91584/6101/27067/11075/50807/4915/25/8829/51196/9638/2059/23426/23603/8100/5587/3480/2909/9139/1002/7074/1756/407007",62
"Shared","GO:0150116","regulation of cell-substrate junction organization","21/1631","68/18986",0.308823529411765,3.59492552385761,6.57145768691076,1.31216219642754e-07,1.75233296959278e-05,1.4009999719273e-05,"23499/9448/3987/23332/11170/2042/90102/22998/3791/1946/5747/25/8829/7414/5795/23603/342184/4088/79834/10982/2824",21
"Shared","GO:0051893","regulation of focal adhesion assembly","20/1631","63/18986",0.317460317460317,3.69546387940011,6.56944632658616,1.56514859031313e-07,1.99930719927825e-05,1.59845724452346e-05,"23499/9448/3987/23332/11170/2042/90102/22998/3791/1946/5747/25/8829/7414/5795/23603/342184/4088/79834/2824",20
"Shared","GO:0090109","regulation of cell-substrate junction assembly","20/1631","63/18986",0.317460317460317,3.69546387940011,6.56944632658616,1.56514859031313e-07,1.99930719927825e-05,1.59845724452346e-05,"23499/9448/3987/23332/11170/2042/90102/22998/3791/1946/5747/25/8829/7414/5795/23603/342184/4088/79834/2824",20
"Shared","GO:0048592","eye morphogenesis","36/1631","167/18986",0.215568862275449,2.50937487379625,6.00588556280151,1.98531403178221e-07,2.4540414736075e-05,1.96201983030172e-05,"65979/84879/8412/7482/356/23418/2202/6670/7068/5915/7474/1295/55764/5523/5584/3791/2247/2195/25836/7021/221935/2737/51384/28996/6101/27067/22882/4915/120114/50937/8076/2200/6774/182/9215/4693",36
"Shared","GO:0072073","kidney epithelium development","34/1631","153/18986",0.222222222222222,2.58682471558008,6.04136243288518,2.00466287837236e-07,2.4540414736075e-05,1.96201983030172e-05,"7482/5087/6382/7849/2043/5915/25937/9353/5311/255743/2247/10252/170690/4208/2246/1906/7021/6492/168667/2737/9863/5420/6469/2131/847/282679/342184/4643/4091/4088/6928/4089/182/2719",34
"Shared","GO:0001667","ameboidal-type cell migration","46/1631","241/18986",0.190871369294606,2.22187849014555,5.85212765148123,2.05201734606517e-07,2.46074569907733e-05,1.96737989591597e-05,"2475/65979/23499/8394/4921/7042/11221/5581/9448/23332/9839/8828/7474/5793/51421/5217/2247/9037/4163/1906/7162/2697/23328/2768/10512/10371/223117/6469/80005/5747/23189/152007/8829/84159/8879/9124/154810/5801/23603/3690/64750/1000/10982/4089/407007/2719",46
"Shared","GO:0010975","regulation of neuron projection development","72/1631","452/18986",0.15929203539823,1.85427258373439,5.63509288486597,2.15413439948877e-07,2.5315387462792e-05,2.02397933156176e-05,"23028/23499/84879/1600/23566/5906/4921/5396/5362/238/55704/1496/3655/1123/4133/2043/22906/7474/5793/6091/2042/5274/5584/23043/22871/5062/9353/5530/9037/4131/8507/1946/6695/55754/1268/5454/84816/2534/10090/23345/26230/9863/10371/4897/91584/27067/11075/6383/23189/4915/9314/25/8829/5058/120114/9638/57609/8499/5587/4734/23251/3480/999/23327/2909/9139/1002/7074/1756/407007/5063/2258",72
"Shared","GO:0002064","epithelial cell development","43/1631","219/18986",0.19634703196347,2.28561909801254,5.86620070782534,2.24596642182537e-07,2.58770562640115e-05,2.06888506514068e-05,"5906/6382/2355/2034/389015/7852/5915/7474/2317/51421/8626/9076/3791/9575/10855/23022/2195/5144/2150/654/6098/2697/2099/9863/1021/4233/5420/79977/1761/1903/7414/406/81029/688/122786/4643/1003/1000/23094/23236/182/631/80781",43
"Shared","GO:0051494","negative regulation of cytoskeleton organization","36/1631","168/18986",0.214285714285714,2.49443811859508,5.96438703622062,2.32095398383217e-07,2.62267800173036e-05,2.09684567405728e-05,"163782/130271/6711/1496/23332/23671/4133/406929/90102/5217/100505385/5062/9353/4131/324/4233/136319/11075/51571/23189/6840/23075/2059/93661/81624/146057/29767/84952/1003/57551/4089/24139/8195/4281/7114/2258",36
"Shared","GO:1902903","regulation of supramolecular fiber organization","65/1631","400/18986",0.1625,1.89161557326793,5.52503008159202,4.03560051184217e-07,4.43364542053755e-05,3.54472421480045e-05,"2475/163782/5999/22924/10602/130271/5581/6711/55704/1496/23332/10787/23671/4133/406929/90102/5217/5062/9353/22998/9037/4131/2150/324/26999/1906/93663/4233/136319/11075/51571/23189/25/6840/8829/23075/5058/2059/93661/6249/10810/81624/122060/5587/342184/146057/29767/84952/7168/4088/11214/1003/23406/57551/4089/24139/2909/8195/5203/351/4771/4281/7114/5063/2258",65
"Shared","GO:0031032","actomyosin structure organization","42/1631","216/18986",0.194444444444444,2.26347162613257,5.72506214027679,4.07448694195078e-07,4.43364542053755e-05,3.54472421480045e-05,"2475/1266/55704/23332/9839/23671/406929/90102/3693/5217/5062/22998/5156/10788/64097/1906/2037/4233/257019/25/10529/8829/84665/9124/10580/5058/4604/5587/84978/29767/84952/7168/4088/11214/399687/3880/8736/80206/4089/8195/4771/4627",42
