"ID","Description","GeneRatio","pvalue","p.adjust","qvalue","Count","pathway_category","target_group","GeneRatio_numeric"
"GO:0061049","cell growth involved in cardiac muscle cell development","8/2235",0.0137335128679094,0.102090738768882,0.0825248911935752,8,"proliferation","TES-only",0.00357941834451902
"GO:2000209","regulation of anoikis","8/2235",0.0137335128679094,0.102090738768882,0.0825248911935752,8,"apoptosis","TES-only",0.00357941834451902
"GO:2000647","negative regulation of stem cell proliferation","8/2235",0.0137335128679094,0.102090738768882,0.0825248911935752,8,"proliferation","TES-only",0.00357941834451902
"GO:0044344","cellular response to fibroblast growth factor stimulus","24/2235",0.0137490150002682,0.102090738768882,0.0825248911935752,24,"proliferation","TES-only",0.010738255033557
"GO:0002685","regulation of leukocyte migration","41/2235",0.0140232516182871,0.103216826632063,0.0834351625806183,41,"migration","TES-only",0.01834451901566
"GO:0032944","regulation of mononuclear cell proliferation","41/2235",0.0140232516182871,0.103216826632063,0.0834351625806183,41,"proliferation","TES-only",0.01834451901566
"GO:0070665","positive regulation of leukocyte proliferation","30/2235",0.0140637147196791,0.103383454213103,0.0835698557287046,30,"proliferation","TES-only",0.0134228187919463
"GO:0051781","positive regulation of cell division","20/2235",0.0142505378978737,0.104097128221244,0.0841467530122359,20,"proliferation","TES-only",0.00894854586129754
"GO:0071774","response to fibroblast growth factor","25/2235",0.014723349521377,0.105362852744859,0.0851698994783305,25,"proliferation","TES-only",0.0111856823266219
"GO:0006925","inflammatory cell apoptotic process","7/2235",0.0148961274570318,0.105362852744859,0.0851698994783305,7,"apoptosis","TES-only",0.00313199105145414
"GO:0036480","neuron intrinsic apoptotic signaling pathway in response to oxidative stress","7/2235",0.0148961274570318,0.105362852744859,0.0851698994783305,7,"apoptosis","TES-only",0.00313199105145414
"GO:0071887","leukocyte apoptotic process","24/2235",0.0154438758165733,0.108097584986534,0.0873805160671545,24,"apoptosis","TES-only",0.010738255033557
"GO:0030593","neutrophil chemotaxis","16/2235",0.0158161457352926,0.109420687637615,0.0884500440540722,16,"migration","TES-only",0.00715883668903803
"GO:0017145","stem cell division","9/2235",0.0158849549756496,0.109420687637615,0.0884500440540722,9,"proliferation","TES-only",0.00402684563758389
"GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","9/2235",0.0158849549756496,0.109420687637615,0.0884500440540722,9,"proliferation","TES-only",0.00402684563758389
"GO:0071604","transforming growth factor beta production","10/2235",0.0173511906253574,0.117147215128827,0.0946957706322678,10,"proliferation","TES-only",0.00447427293064877
"GO:0035988","chondrocyte proliferation","8/2235",0.0179949288724839,0.119008651608218,0.0962004599388387,8,"proliferation","TES-only",0.00357941834451902
"GO:0050927","positive regulation of positive chemotaxis","8/2235",0.0179949288724839,0.119008651608218,0.0962004599388387,8,"migration","TES-only",0.00357941834451902
"GO:1902622","regulation of neutrophil migration","11/2235",0.0182790016324334,0.12020205155115,0.0971651429417097,11,"migration","TES-only",0.00492170022371365
"GO:0042058","regulation of epidermal growth factor receptor signaling pathway","16/2235",0.018378744234288,0.120584520994197,0.0974743115259809,16,"proliferation","TES-only",0.00715883668903803
"GO:0048146","positive regulation of fibroblast proliferation","13/2235",0.0189904992583735,0.12306692256823,0.0994809570088744,13,"proliferation","TES-only",0.0058165548098434
"GO:0010657","muscle cell apoptotic process","19/2235",0.0191987806500791,0.12372547530051,0.100013297094096,19,"apoptosis","TES-only",0.00850111856823266
"GO:0008543","fibroblast growth factor receptor signaling pathway","18/2235",0.0199267521173972,0.127500207474679,0.103064596023997,18,"proliferation","TES-only",0.00805369127516779
"GO:0090022","regulation of neutrophil chemotaxis","9/2235",0.0200922740744581,0.127500207474679,0.103064596023997,9,"migration","TES-only",0.00402684563758389
"GO:1904738","vascular associated smooth muscle cell migration","9/2235",0.0200922740744581,0.127500207474679,0.103064596023997,9,"migration","TES-only",0.00402684563758389
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","14/2235",0.0222104817511852,0.134388066016777,0.108632385850948,14,"proliferation","TES-only",0.00626398210290828
"GO:1903377","negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","5/2235",0.022313053030027,0.134388066016777,0.108632385850948,5,"apoptosis","TES-only",0.00223713646532438
"GO:0050926","regulation of positive chemotaxis","8/2235",0.0231253516654498,0.137176478412388,0.110886394709397,8,"migration","TES-only",0.00357941834451902
"GO:0051450","myoblast proliferation","8/2235",0.0231253516654498,0.137176478412388,0.110886394709397,8,"proliferation","TES-only",0.00357941834451902
"GO:0071634","regulation of transforming growth factor beta production","9/2235",0.0250471176194941,0.146592615734678,0.118497914788068,9,"proliferation","TES-only",0.00402684563758389
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","15/2235",0.0252129472981133,0.146848065803645,0.118704407457247,15,"apoptosis","TES-only",0.00671140939597315
"GO:0050670","regulation of lymphocyte proliferation","39/2235",0.0254029552044996,0.147484624810909,0.119218968948782,39,"proliferation","TES-only",0.0174496644295302
"GO:0071425","hematopoietic stem cell proliferation","10/2235",0.0261319111711923,0.150511504263074,0.121665742284525,10,"proliferation","TES-only",0.00447427293064877
"GO:0090049","regulation of cell migration involved in sprouting angiogenesis","12/2235",0.0266496419336251,0.151537179622574,0.122494845379119,12,"migration","TES-only",0.00536912751677852
"GO:0002042","cell migration involved in sprouting angiogenesis","15/2235",0.0290198023126904,0.161908513398087,0.130878497037219,15,"migration","TES-only",0.00671140939597315
"GO:0042100","B cell proliferation","18/2235",0.0291632718035283,0.161908513398087,0.130878497037219,18,"proliferation","TES-only",0.00805369127516779
"GO:0071677","positive regulation of mononuclear cell migration","18/2235",0.0291632718035283,0.161908513398087,0.130878497037219,18,"migration","TES-only",0.00805369127516779
"GO:0008356","asymmetric cell division","6/2235",0.0295064308037548,0.161908513398087,0.130878497037219,6,"proliferation","TES-only",0.00268456375838926
"GO:0014841","skeletal muscle satellite cell proliferation","6/2235",0.0295064308037548,0.161908513398087,0.130878497037219,6,"proliferation","TES-only",0.00268456375838926
"GO:0035728","response to hepatocyte growth factor","6/2235",0.0295064308037548,0.161908513398087,0.130878497037219,6,"proliferation","TES-only",0.00268456375838926
"GO:1903376","regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","6/2235",0.0295064308037548,0.161908513398087,0.130878497037219,6,"apoptosis","TES-only",0.00268456375838926
"GO:2000291","regulation of myoblast proliferation","6/2235",0.0295064308037548,0.161908513398087,0.130878497037219,6,"proliferation","TES-only",0.00268456375838926
"GO:0034390","smooth muscle cell apoptotic process","9/2235",0.0308090658594411,0.166380430153406,0.134493364047781,9,"apoptosis","TES-only",0.00402684563758389
"GO:0042102","positive regulation of T cell proliferation","19/2235",0.0312386515409236,0.168230435410731,0.135988812943629,19,"proliferation","TES-only",0.00850111856823266
"GO:1902692","regulation of neuroblast proliferation","12/2235",0.0313686013837156,0.168402177373339,0.136127640294165,12,"proliferation","TES-only",0.00536912751677852
"GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","11/2235",0.0316705787424734,0.168402177373339,0.136127640294165,11,"apoptosis","TES-only",0.00492170022371365
"GO:0038180","nerve growth factor signaling pathway","5/2235",0.0319431478417368,0.168402177373339,0.136127640294165,5,"proliferation","TES-only",0.00223713646532438
"GO:0140131","positive regulation of lymphocyte chemotaxis","5/2235",0.0319431478417368,0.168402177373339,0.136127640294165,5,"migration","TES-only",0.00223713646532438
"GO:0070663","regulation of leukocyte proliferation","42/2235",0.0347274565190742,0.178880326652425,0.1445976360998,42,"proliferation","TES-only",0.0187919463087248
"GO:0000082","G1/S transition of mitotic cell cycle","43/2235",0.0349024369125389,0.179145251409492,0.144811787618489,43,"proliferation","TES-only",0.0192393736017897
"GO:1904752","regulation of vascular associated smooth muscle cell migration","8/2235",0.0362927061884534,0.184323726701427,0.148997800132152,8,"migration","TES-only",0.00357941834451902
