"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","pathway_category","target_group"
"GO:0010595","positive regulation of endothelial cell migration","32/1739","110/15151",0.290909090909091,2.53453918134769,5.81627997482818,4.12811531468294e-07,4.36957478315857e-05,3.50195036700092e-05,"ENSG00000137801/ENSG00000259207/ENSG00000126785/ENSG00000184304/ENSG00000048052/ENSG00000134954/ENSG00000126016/ENSG00000112902/ENSG00000105976/ENSG00000132669/ENSG00000099250/ENSG00000128052/ENSG00000150630/ENSG00000145632/ENSG00000135046/ENSG00000078401/ENSG00000138685/ENSG00000114861/ENSG00000154188/ENSG00000141376/ENSG00000138772/ENSG00000205542/ENSG00000120899/ENSG00000051382/ENSG00000118257/ENSG00000183287/ENSG00000113578/ENSG00000113140/ENSG00000114251/ENSG00000143878/ENSG00000109458/ENSG00000189403",32,"migration","Shared"
"GO:0050921","positive regulation of chemotaxis","34/1739","121/15151",0.28099173553719,2.44813443652902,5.75879224387087,4.48681832805246e-07,4.62876494424903e-05,3.70967563199744e-05,"ENSG00000137801/ENSG00000184304/ENSG00000111913/ENSG00000112902/ENSG00000105976/ENSG00000156299/ENSG00000177119/ENSG00000099250/ENSG00000128052/ENSG00000136244/ENSG00000145147/ENSG00000150630/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000184371/ENSG00000140945/ENSG00000166949/ENSG00000172939/ENSG00000205542/ENSG00000149177/ENSG00000137845/ENSG00000133789/ENSG00000164251/ENSG00000156234/ENSG00000169398/ENSG00000120899/ENSG00000170962/ENSG00000168811/ENSG00000114251/ENSG00000035664/ENSG00000189403/ENSG00000106366/ENSG00000169429",34,"migration","Shared"
"GO:0050673","epithelial cell proliferation","79/1739","397/15151",0.198992443324937,1.73371737137212,5.33431306467944,5.90451161838364e-07,5.49216375782111e-05,4.40163765166822e-05,"ENSG00000137801/ENSG00000259207/ENSG00000163235/ENSG00000153071/ENSG00000105974/ENSG00000147862/ENSG00000115353/ENSG00000184304/ENSG00000105810/ENSG00000171444/ENSG00000144810/ENSG00000079385/ENSG00000112902/ENSG00000169554/ENSG00000152894/ENSG00000143507/ENSG00000146674/ENSG00000134013/ENSG00000137764/ENSG00000099250/ENSG00000128052/ENSG00000146648/ENSG00000136244/ENSG00000169083/ENSG00000139292/ENSG00000137573/ENSG00000140285/ENSG00000156535/ENSG00000062038/ENSG00000171951/ENSG00000149295/ENSG00000138685/ENSG00000151748/ENSG00000108691/ENSG00000081189/ENSG00000134363/ENSG00000276644/ENSG00000134250/ENSG00000140945/ENSG00000101384/ENSG00000124813/ENSG00000078098/ENSG00000166949/ENSG00000075711/ENSG00000185950/ENSG00000207971/ENSG00000115310/ENSG00000148737/ENSG00000178607/ENSG00000136997/ENSG00000091136/ENSG00000111728/ENSG00000092969/ENSG00000183779/ENSG00000164434/ENSG00000168610/ENSG00000051382/ENSG00000118257/ENSG00000134371/ENSG00000171552/ENSG00000168214/ENSG00000168811/ENSG00000113578/ENSG00000275410/ENSG00000253008/ENSG00000164690/ENSG00000004848/ENSG00000113140/ENSG00000137693/ENSG00000019549/ENSG00000114251/ENSG00000091831/ENSG00000207725/ENSG00000107798/ENSG00000105971/ENSG00000189403/ENSG00000141564/ENSG00000107779/ENSG00000147257",79,"proliferation","Shared"
"GO:0010594","regulation of endothelial cell migration","43/1739","173/15151",0.248554913294798,2.16552932221362,5.55173435511553,6.24824827839651e-07,5.71482602802908e-05,4.58008801756593e-05,"ENSG00000137801/ENSG00000259207/ENSG00000126785/ENSG00000184304/ENSG00000048052/ENSG00000134954/ENSG00000126016/ENSG00000079385/ENSG00000112902/ENSG00000105976/ENSG00000133121/ENSG00000132669/ENSG00000137764/ENSG00000099250/ENSG00000128052/ENSG00000145147/ENSG00000150630/ENSG00000145632/ENSG00000166068/ENSG00000135046/ENSG00000159167/ENSG00000078401/ENSG00000138685/ENSG00000081189/ENSG00000114861/ENSG00000154188/ENSG00000141376/ENSG00000138772/ENSG00000205542/ENSG00000156234/ENSG00000169398/ENSG00000120899/ENSG00000051382/ENSG00000118257/ENSG00000183287/ENSG00000113578/ENSG00000253008/ENSG00000113140/ENSG00000114251/ENSG00000143878/ENSG00000109458/ENSG00000189403/ENSG00000207935",43,"migration","Shared"
"GO:0060420","regulation of heart growth","21/1739","61/15151",0.344262295081967,2.99937782218912,5.63409937821754,2.05213092557126e-06,0.000157348525293126,0.000126105342794706,"ENSG00000187955/ENSG00000164442/ENSG00000170312/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000176788/ENSG00000169946/ENSG00000144560/ENSG00000139318/ENSG00000168214/ENSG00000178568/ENSG00000117152/ENSG00000137693/ENSG00000207725/ENSG00000107779/ENSG00000207935",21,"proliferation","Shared"
"GO:0010631","epithelial cell migration","27/1739","92/15151",0.293478260869565,2.55692301922644,5.39352035187246,2.69524970895897e-06,0.000191160585607915,0.000153203667667141,"ENSG00000115353/ENSG00000049130/ENSG00000171444/ENSG00000169554/ENSG00000143507/ENSG00000011426/ENSG00000163513/ENSG00000140285/ENSG00000107104/ENSG00000070087/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000153233/ENSG00000092969/ENSG00000166974/ENSG00000169398/ENSG00000110880/ENSG00000114251/ENSG00000207725/ENSG00000115109/ENSG00000171132/ENSG00000141646/ENSG00000127603",27,"migration","Shared"
"GO:0050920","regulation of chemotaxis","42/1739","177/15151",0.23728813559322,2.06736776444674,5.14329146898469,3.07558413810505e-06,0.000200961504408414,0.000161058512335927,"ENSG00000137801/ENSG00000184304/ENSG00000111913/ENSG00000112902/ENSG00000105976/ENSG00000156299/ENSG00000177119/ENSG00000099250/ENSG00000128052/ENSG00000136244/ENSG00000145147/ENSG00000150630/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000108691/ENSG00000184371/ENSG00000221866/ENSG00000140945/ENSG00000166949/ENSG00000172939/ENSG00000205542/ENSG00000149177/ENSG00000137845/ENSG00000133789/ENSG00000164251/ENSG00000156234/ENSG00000169398/ENSG00000120899/ENSG00000151490/ENSG00000170962/ENSG00000153310/ENSG00000168811/ENSG00000113578/ENSG00000114251/ENSG00000035664/ENSG00000109743/ENSG00000197635/ENSG00000189403/ENSG00000106366/ENSG00000166086/ENSG00000169429",42,"migration","Shared"
"GO:0060326","cell chemotaxis","52/1739","238/15151",0.218487394957983,1.90356671708361,5.05912639688578,3.11678047020451e-06,0.000200961504408414,0.000161058512335927,"ENSG00000137801/ENSG00000197702/ENSG00000124126/ENSG00000162692/ENSG00000184304/ENSG00000111913/ENSG00000112902/ENSG00000105976/ENSG00000156299/ENSG00000177119/ENSG00000099250/ENSG00000128052/ENSG00000136244/ENSG00000145147/ENSG00000150630/ENSG00000135046/ENSG00000184588/ENSG00000143669/ENSG00000078401/ENSG00000171951/ENSG00000138685/ENSG00000108691/ENSG00000184371/ENSG00000128512/ENSG00000172939/ENSG00000205542/ENSG00000149177/ENSG00000137845/ENSG00000133789/ENSG00000164251/ENSG00000156234/ENSG00000092969/ENSG00000169398/ENSG00000120899/ENSG00000151490/ENSG00000170962/ENSG00000138135/ENSG00000168811/ENSG00000113578/ENSG00000134215/ENSG00000143398/ENSG00000107862/ENSG00000114251/ENSG00000035664/ENSG00000109743/ENSG00000109458/ENSG00000197635/ENSG00000189403/ENSG00000106366/ENSG00000166086/ENSG00000169429/ENSG00000110934",52,"migration","Shared"
"GO:0090132","epithelium migration","27/1739","94/15151",0.287234042553192,2.50252040179609,5.26167978604883,4.23853335281314e-06,0.000258596110149051,0.000207249169033987,"ENSG00000115353/ENSG00000049130/ENSG00000171444/ENSG00000169554/ENSG00000143507/ENSG00000011426/ENSG00000163513/ENSG00000140285/ENSG00000107104/ENSG00000070087/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000153233/ENSG00000092969/ENSG00000166974/ENSG00000169398/ENSG00000110880/ENSG00000114251/ENSG00000207725/ENSG00000115109/ENSG00000171132/ENSG00000141646/ENSG00000127603",27,"migration","Shared"
"GO:0060560","developmental growth involved in morphogenesis","49/1739","222/15151",0.220720720720721,1.92302451963177,4.98865765009966,4.40626920267258e-06,0.000265969909106002,0.00021315882369032,"ENSG00000078018/ENSG00000115414/ENSG00000112902/ENSG00000156299/ENSG00000099250/ENSG00000145147/ENSG00000131711/ENSG00000248905/ENSG00000163513/ENSG00000133083/ENSG00000173166/ENSG00000073711/ENSG00000075213/ENSG00000078401/ENSG00000184371/ENSG00000221866/ENSG00000187164/ENSG00000128829/ENSG00000041982/ENSG00000129682/ENSG00000115310/ENSG00000179242/ENSG00000139174/ENSG00000140557/ENSG00000008086/ENSG00000118785/ENSG00000133104/ENSG00000182197/ENSG00000035403/ENSG00000055163/ENSG00000118257/ENSG00000170017/ENSG00000198742/ENSG00000113578/ENSG00000275410/ENSG00000164690/ENSG00000125848/ENSG00000158321/ENSG00000171517/ENSG00000006652/ENSG00000067715/ENSG00000137693/ENSG00000114251/ENSG00000184349/ENSG00000091831/ENSG00000082701/ENSG00000115109/ENSG00000039068/ENSG00000127603",49,"proliferation","Shared"
"GO:0090287","regulation of cellular response to growth factor stimulus","62/1739","306/15151",0.202614379084967,1.76527340857754,4.86963679415131,5.18995762635177e-06,0.000288704113450195,0.000231378915849738,"ENSG00000137801/ENSG00000259207/ENSG00000142871/ENSG00000105974/ENSG00000150457/ENSG00000166147/ENSG00000198947/ENSG00000092421/ENSG00000137642/ENSG00000169554/ENSG00000101134/ENSG00000099250/ENSG00000150938/ENSG00000128052/ENSG00000107984/ENSG00000163430/ENSG00000145147/ENSG00000150630/ENSG00000069869/ENSG00000164442/ENSG00000137573/ENSG00000157240/ENSG00000166068/ENSG00000049323/ENSG00000156535/ENSG00000062038/ENSG00000072401/ENSG00000138336/ENSG00000138685/ENSG00000134363/ENSG00000064393/ENSG00000167941/ENSG00000134250/ENSG00000168743/ENSG00000124813/ENSG00000166949/ENSG00000207971/ENSG00000171310/ENSG00000156234/ENSG00000151388/ENSG00000133104/ENSG00000134986/ENSG00000055163/ENSG00000183779/ENSG00000106070/ENSG00000156642/ENSG00000051382/ENSG00000183287/ENSG00000198742/ENSG00000146197/ENSG00000168675/ENSG00000168214/ENSG00000168811/ENSG00000113578/ENSG00000072415/ENSG00000101665/ENSG00000197415/ENSG00000114251/ENSG00000105971/ENSG00000141646/ENSG00000207935/ENSG00000147257",62,"proliferation","Shared"
"GO:0046620","regulation of organ growth","26/1739","90/15151",0.288888888888889,2.51693821481056,5.19722570482411,5.65238782698985e-06,0.000308381235868658,0.000247148941423038,"ENSG00000150457/ENSG00000151718/ENSG00000187955/ENSG00000164442/ENSG00000170312/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000176788/ENSG00000169946/ENSG00000144560/ENSG00000113645/ENSG00000139318/ENSG00000135346/ENSG00000168214/ENSG00000178568/ENSG00000004848/ENSG00000117152/ENSG00000137693/ENSG00000207725/ENSG00000107779/ENSG00000207935",26,"proliferation","Shared"
"GO:0010632","regulation of epithelial cell migration","21/1739","65/15151",0.323076923076923,2.81480072543902,5.27968370800234,6.5008314718355e-06,0.000338401080469675,0.000271208034363393,"ENSG00000115353/ENSG00000171444/ENSG00000143507/ENSG00000163513/ENSG00000140285/ENSG00000070087/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000153233/ENSG00000092969/ENSG00000166974/ENSG00000169398/ENSG00000110880/ENSG00000207725/ENSG00000115109/ENSG00000171132/ENSG00000127603",21,"migration","Shared"
"GO:0055021","regulation of cardiac muscle tissue growth","19/1739","56/15151",0.339285714285714,2.95601946931734,5.28031660163705,7.96396880316033e-06,0.000399889902558688,0.000320487612758758,"ENSG00000187955/ENSG00000164442/ENSG00000170312/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000169946/ENSG00000144560/ENSG00000168214/ENSG00000178568/ENSG00000117152/ENSG00000137693/ENSG00000207725/ENSG00000107779/ENSG00000207935",19,"proliferation","Shared"
"GO:0014909","smooth muscle cell migration","22/1739","71/15151",0.309859154929577,2.69964120548478,5.16886381708818,8.47068226532555e-06,0.000414333199771183,0.000332063043432,"ENSG00000162733/ENSG00000259207/ENSG00000173334/ENSG00000197702/ENSG00000115353/ENSG00000137642/ENSG00000146674/ENSG00000140416/ENSG00000083857/ENSG00000099250/ENSG00000145147/ENSG00000081189/ENSG00000128512/ENSG00000147459/ENSG00000122861/ENSG00000120063/ENSG00000106070/ENSG00000170962/ENSG00000140526/ENSG00000104415/ENSG00000106366/ENSG00000107779",22,"migration","Shared"
"GO:0060419","heart growth","24/1739","82/15151",0.292682926829268,2.54999368855103,5.06761921916502,1.00217614344843e-05,0.000466094052289049,0.000373546241561451,"ENSG00000187955/ENSG00000164442/ENSG00000170312/ENSG00000154556/ENSG00000078401/ENSG00000151320/ENSG00000138685/ENSG00000151748/ENSG00000081189/ENSG00000114861/ENSG00000082482/ENSG00000176788/ENSG00000169946/ENSG00000163110/ENSG00000144560/ENSG00000092969/ENSG00000139318/ENSG00000168214/ENSG00000178568/ENSG00000117152/ENSG00000137693/ENSG00000207725/ENSG00000107779/ENSG00000207935",24,"proliferation","Shared"
"GO:0090130","tissue migration","27/1739","99/15151",0.272727272727273,2.37613048251346,4.94640238032996,1.22338864624506e-05,0.000542305248343317,0.000434624913797587,"ENSG00000115353/ENSG00000049130/ENSG00000171444/ENSG00000169554/ENSG00000143507/ENSG00000011426/ENSG00000163513/ENSG00000140285/ENSG00000107104/ENSG00000070087/ENSG00000147459/ENSG00000185950/ENSG00000196405/ENSG00000144724/ENSG00000168615/ENSG00000115310/ENSG00000153233/ENSG00000092969/ENSG00000166974/ENSG00000169398/ENSG00000110880/ENSG00000114251/ENSG00000207725/ENSG00000115109/ENSG00000171132/ENSG00000141646/ENSG00000127603",27,"migration","Shared"
