"pathway","description","pval","padj","log2err","ES","NES","size","leadingEdge"
"GO:0000209","protein polyubiquitination",0.26962457337884,0.729518194914193,0.0711887468782548,-0.240231930473661,-1.05618255366938,254,"TRIM55;UBE2C;C10orf90;ZSWIM2;DTL;FBXO4;TRIM22;RIPK2;NBN;MARCHF1;UBE2T;FBXO38;NEDD4;TRIM5;BRCA1;TRIM45;BARD1;WSB1;BIRC2;SHPRH;ZNRF1;ANAPC1;TRIM2;RNF180;UBE2J1;KBTBD6;TNFAIP3;NQO1;PTPN22;RNF115;SKP2;UBE3D;DCAF15;ANAPC16;TRIM65;UBE2D4;RNF126;TRIM3;NT5C2;RNF168;UBE2O;HUWE1;KLHL3;UBE2S;UBR4;TRIM6;FOXF2;DDX3X;UBE3A;CUL4B;LNPEP;CTNNB1;GABARAP;HDAC6;CDC27;NPEPPS;SMURF1;MIR138-1;KLHL42;LRSAM1;UBR5"
"GO:0000212","meiotic spindle organization",0.000270442843354124,0.0149049725554225,0.49849310876659,-0.713382811862761,-2.00224677070358,20,"NDC80;ASPM;AURKA;SKA3;ESPL1;SKA2;CCNB2;TUBG1;MYH9;FBXO5;SEPTIN1"
"GO:0000244","spliceosomal tri-snRNP complex assembly",0.933710590137429,1,0.0198152437300378,-0.226181793190745,-0.674108092580748,25,"PRPF8;RNU5D-1;USP4;PRPF3"
"GO:0000245","spliceosomal complex assembly",0.865258557902403,1,0.025846758461163,-0.216998989487659,-0.826356293794102,83,"RNVU1-1;PTBP2;RNVU1-4;RNVU1-15;RNVU1-3;TXNL4A;GEMIN2;SCAF11;SNRPG;SNRPD3;SRSF1;YTHDC1;SRSF10;SNRNP200;BUD13"
"GO:0000266","mitochondrial fission",0.109953179278055,0.557108823367212,0.0515059350751614,0.442647026045917,1.31328398324843,40,"IRGM;MCU;KDR;PPARG;MAPT;GDAP1;MTFR1;PINK1;MARCHF5;FIS1;MUL1;MIEF2;RALA;COX10;BNIP3;DNM1L;CYRIB"
"GO:0000271","polysaccharide biosynthetic process",0.932399248880543,1,0.010693053606363,0.225633812498705,0.712753446745627,57,"IGF2;GCK;SMPD3;HAS3;CSGALNACT1;PGM2;IGF1;PASK;IRS2;INSR;HS2ST1;NDST4;HAS1;EXT2"
"GO:0000272","polysaccharide catabolic process",0.950697526949905,1,0.0117885881761873,0.232131544539864,0.62961540501139,26,"PYGB;WIPI1"
"GO:0000281","mitotic cytokinesis",1.41757065294165e-05,0.00107917465498601,0.593325476396405,-0.492918347333213,-1.90899111513912,92,"IQGAP3;CDCA8;KIF20A;AURKB;BIRC5;KIF23;ESPL1;PLK1;NUSAP1;ECT2;ANLN;SPTBN1;CENPA;KIF20B;SNX33;INCENP;CKAP2;RACGAP1;SNX18;SNX9;EXOC5;ANK3"
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.879831113998051,1,0.0236713261107972,-0.220765993995343,-0.784417257278801,57,"SAMD4A;DHX9;SYNCRIP;TOB1;PAN2;TNKS1BP1;NOCT;ZFP36L2;CSDE1;PATL2;HNRNPU;HNRNPD;BTG2;PNLDC1;MLH1;CNOT1;DCP2;CNOT9;PDE12;DCPS;RC3H1"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",0.937147688838782,1,0.0204436611910281,-0.220362984548069,-0.695263451590106,32,"SAMD4A;TOB1;PAN2;TNKS1BP1;BTG2;PNLDC1;MLH1;CNOT1;CNOT9;AGO2;EIF4ENIF1;TENT4A;TNRC6A"
"GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA",0.677303262955854,0.954220555228421,0.0230063875035758,-0.348796520121174,-0.840057045682513,11,"NOCT;PATL2;DCP2;DCPS;EIF4ENIF1;CAPRIN1"
"GO:0000302","response to reactive oxygen species",0.026673640167364,0.322624028690974,0.202498775969141,-0.306393004199664,-1.29345055922929,172,"DDR2;EDN1;TACR1;IL6;CYP1B1;SESN3;CDK1;ECT2;CD36;PKD2;RELA;PTPRK;MET;TPM1;GSTP1;AXL;CAT;PLEKHA1;NET1;LRRK2;STAT1;PAWR;FXN;TET1;HMOX1;GPX1;FOXP1;KLF2;DHFR;RLIG1;SOD2;TNFAIP3;NQO1;PPARGC1B;ANKZF1;ADAM9;GLRX2;EZH2;PXN;HIF1A;NUDT15;IL1A;MMP2;SLC8A1;PRKAA1;PJVK"
"GO:0000303","response to superoxide",0.298090806995026,0.747785610683975,0.0302058792293513,0.428011117094385,1.13098416988595,23,"NOS3;BMP7;CYGB"
"GO:0000305","response to oxygen radical",0.31352130727331,0.762811683871953,0.0292522839792631,0.419676693834021,1.11779681763825,24,"NOS3;BMP7;CYGB"
"GO:0000338","protein deneddylation",0.898032629558541,1,0.0186552277227945,-0.271356783919598,-0.653547742237257,11,"COPS6;SENP8;COPS7A;GPS1;COPS7B;COPS8;TOR1A;COPS3;COPS5;COPS2;COPS4"
"GO:0000380","alternative mRNA splicing, via spliceosome",0.659924580047994,0.950524220262037,0.0295530884280843,-0.246441562875153,-0.90820622684579,70,"ARB2A;DDX17;DHX9;RBMX;RBM8A;RBM7;RBM47;DDX5;SFPQ;RBPMS;SRSF1;TIA1;YTHDC1;HNRNPU;KHDRBS1;HNRNPUL2;HNRNPA1;REST;HNRNPUL1;SRSF2;TRA2B;HNRNPM;RBM4;RBM15;SRSF6;RBM24;SRSF8"
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome",0.892005157962605,1,0.0233285418246271,-0.222363568363402,-0.774927570645053,52,"ARB2A;DDX17;RBMX;RBM8A;RBM7;RBM47;DDX5;RBPMS;TIA1;YTHDC1;HNRNPU;KHDRBS1;HNRNPA1;REST;SRSF2;TRA2B;RBM4;RBM15;SRSF6;RBM24;SRSF8"
"GO:0000387","spliceosomal snRNP assembly",0.855095045185416,1,0.0234633358947609,-0.229206651922768,-0.792746597675268,49,"PRPF8;RNU5D-1;GEMIN2;USP4;SNRPG;SNRPD3;PRPF3;GEMIN7;LSM4;PRMT5;SRSF10"
"GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation",0.98505603985056,1,0.0178382383085665,-0.194038982606416,-0.498540530817816,14,"TSEN15;RTCB;TSEN34;TRPT1;C2orf49;DDX1;FAM98A;RTRAF;TSEN2;ZBTB8OS;FAM98B;CLP1;ERN1;TSEN54"
"GO:0000395","mRNA 5'-splice site recognition",0.225320271288621,0.693692783376855,0.0459731894695299,-0.459213428278182,-1.2001683690071,15,"RNVU1-1;RNVU1-4;RNVU1-15;RNVU1-3"
"GO:0000413","protein peptidyl-prolyl isomerization",0.438439230160823,0.84354566948009,0.0323082766086448,-0.355460172538687,-1.01000793189056,21,"RANBP2;PPIH;PPIG;PPIC"
"GO:0000422","autophagy of mitochondrion",0.985868991019546,1,0.00840887592745793,0.193977699598474,0.676654821427288,112,"CERS1;ATG9B;IRGM;NOD2;WIPI1;NIPSNAP3B"
"GO:0000423","mitophagy",0.973193631786638,1,0.00910565799212595,0.20372035460451,0.693729326292787,94,"CERS1;ATG9B;IRGM;NOD2"
"GO:0000425","pexophagy",0.269913627639155,0.729678580595996,0.0405314912401909,-0.48518731881118,-1.168546708842,11,"PJVK;PEX2;ATM;ATG2A;ACBD5"
"GO:0000460","maturation of 5.8S rRNA",1,1,0.0105230741926161,0.11240939019974,0.324856999030078,35,"ERI1;PES1;RCL1;WDR12;ERI2;NSA2;EXOSC4;EIF6;URB1;NOP14"
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.917962003454231,1,0.0210866596486703,-0.224705830891037,-0.723791889687014,35,"ERCC2;BMS1;RPS8;RPS19;PWP2;RPS16;GTF2H5;UTP3;RRP36;NOP9;HEATR1;UTP6;RPS21;UTP23;TSR1;TBL3;WDR43;SLX9;BYSL;TSR2;ABT1;KRI1;WDR46;UTP20;NOL10;LOC102724159;RPP40;UTP4;RRS1;NGDN;NOP14;UTP25;DHX37;RCL1;DCAF13"
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.945897435897436,1,0.0188721891660856,-0.22983446901684,-0.620011514693151,17,"ZNHIT6"
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.865587952579302,1,0.0133091639938682,0.269372785876627,0.717466676694534,24,"ERI1;PES1;RCL1;WDR12;ERI2;URB1;NOP14;RRS1;RPP40;UTP20;EXOSC3;KRI1;ABT1;EXOSC7"
"GO:0000470","maturation of LSU-rRNA",0.995397942609637,1,0.0189209233051137,-0.170091823349366,-0.511317243831888,26,"ZNHIT6;MAK16;RPL7;NOL9;TRMT112;RPL7A;RRP15;PPAN;FTSJ3;BOP1;RPL35;DDX18;LAS1L;RPF1;RPF2;ZNHIT3;RBM34;GTPBP4;RPL7L1;PAK1IP1;URB1;EIF6;NSA2;WDR12;PES1;NOP2"
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.828433857070451,1,0.0207043446503391,-0.279195804195804,-0.741859646043188,16,"BMS1;NOL9;NOP9;RPS21;UTP23;BOP1;TSR1;TBL3;SDE2;ABT1;KRI1;UTP20;RPP40;RRS1;NOP14;RCL1"
"GO:0000491","small nucleolar ribonucleoprotein complex assembly",0.469000729394602,0.859342356445461,0.0295151116826142,-0.401487419780241,-0.990694643581499,12,"ZNHIT6;NAF1"
"GO:0000492","box C/D snoRNP assembly",0.792340627973359,0.995575947466448,0.0204160573719503,-0.318859114349581,-0.748288234469885,10,"ZNHIT6;NUFIP1;RUVBL2;TAF9;PIH1D1"
"GO:0000578","embryonic axis specification",0.089739663093415,0.525194723000688,0.0578509291080086,0.473689362011654,1.36267342495464,34,"GDF3;NRARP;TDRD5;CRIPTO;COBL"
"GO:0000712","resolution of meiotic recombination intermediates",0.431069437404967,0.839411194042895,0.0318723732294058,-0.382854823516793,-1.01729517274874,16,"TOP2A;SHOC1;FANCM;EME1;TOP2B;MLH1"
"GO:0000722","telomere maintenance via recombination",0.223412204234122,0.691299839584608,0.0459731894695299,-0.470281819594374,-1.20828580332288,14,"BRCA2;XRCC1;RAD50;RAD51;SMC5;XRCC3"
"GO:0000723","telomere maintenance",0.182604517059106,0.646709537232793,0.0726386507219513,-0.264459595034098,-1.10790942775301,158,"BRCA2;AURKB;NEK2;PIF1;EXO1;FBXO4;NBN;PRKDC;NAF1;CDK2;FEN1;XRCC1;SLF2;RAD50;RAD51;MYC;TNKS1BP1;HSP90AA1;STN1;NSMCE3;SMC5;MAPK1;ZNF365;GNL3L;CCT6A;XRCC3;XRCC5;PML;CCNE1;LMNA;HNRNPU;USP7;HNRNPD;CTNNB1;HNRNPA1;ACTR8;ATM;DNA2;TERF1;NABP2;RFC1;PCNA;CCNE2;INO80E;UCHL5;DCP2"
"GO:0000724","double-strand break repair via homologous recombination",0.00616258016194624,0.145381939546601,0.407017918923954,-0.330123130247387,-1.40346204381855,183,"BRCA2;RAD51AP1;POLQ;PLK1;AUNIP;CDC45;FIGNL1;UHRF1;NBN;GINS2;NUCKS1;RAD54L;YEATS4;BRCA1;FEN1;CHEK1;SAMHD1;XRCC1;PARPBP;SLF2;MCM6;MMS22L;RAD50;ACTB;BRD8;RAD51;SFPQ;H2AX;SKP2;XRCC2;RFWD3;NSMCE3;MCM4;SMC5;FANCB;RNF126;FANCM;ZNF365;MCM7;XRCC3;CDC7;RAD21L1;EXD2"
"GO:0000725","recombinational repair",0.00131016737116798,0.0480933741727406,0.45505986738723,-0.342054716337456,-1.46075195485806,189,"BRCA2;RAD51AP1;POLQ;PLK1;AUNIP;CDC45;FIGNL1;UHRF1;NBN;GINS2;NUCKS1;RAD54L;YEATS4;BRCA1;HROB;FEN1;CHEK1;SAMHD1;XRCC1;PARPBP;SLF2;RHNO1;MCM6;MMS22L;RAD50;ACTB;BRD8;RAD51;SFPQ;H2AX;SKP2;XRCC2;RFWD3;NSMCE3;MCM4;SMC5;FANCB;RNF126;FANCM;ZNF365;MCM7;XRCC3;XRCC5;CDC7;RAD21L1;EXD2"
"GO:0000727","double-strand break repair via break-induced replication",0.012156576707999,0.211365241452769,0.204544131818546,-0.685409840477465,-1.69129049670037,12,"CDC45;GINS2;MCM6;MCM4;MCM7;CDC7;MCM3"
"GO:0000729","DNA double-strand break processing",0.219685039370079,0.686677367576244,0.0477499829963807,-0.430385011269262,-1.19050841683357,19,"NBN;SMARCAD1;BRIP1;RAD50;EXD2;RNF138;ATM;DNA2;RAD52"
"GO:0000731","DNA synthesis involved in DNA repair",0.0263620386643234,0.322190439073174,0.151812881287453,-0.459020698588189,-1.50099443938455,38,"POLQ;DTL;PCLAF;POLI;HROB;CDKN2D;POLD2;USP43;ZBTB1;POLD1;RRM1;RRM2B;RFC3;POLK;PCNA"
"GO:0000768","syncytium formation by plasma membrane fusion",0.213337182448037,0.684037222756,0.0346494361403704,0.373807497970108,1.16871932284905,53,"MYMK;SCGB3A1;CACNA1H;ADGRB1;TNFSF14;NFATC2;CD53;ADGRB3;TMEM182"
"GO:0000819","sister chromatid segregation",2.09647366049045e-13,2.0412665207642e-10,0.943632225232838,-0.504207150141284,-2.19855280765623,230,"DLGAP5;KIF18B;CDCA8;UBE2C;TTK;AURKB;BIRC5;KIFC1;SPC25;TOP2A;SPC24;CCNB1;MYBL2;ZWINT;CDC20;NDC80;KIF23;TPX2;SKA3;CDK1;KNL1;ESPL1;CDCA5;NUF2;NEK2;NCAPG;PLK1;KIF15;NUSAP1;RIPOR2;BUB1B;SPAG5;KIF18A;BUB1;NCAPG2;SKA2;HASPIN;KIF22;RAN;UHRF1;CENPE;MZT1;KNSTRN;INCENP;KIF14;TACC3;CDC6;NCAPD2;CDT1;SPDL1;KIF2C;CENPI;ANAPC1;RIOK2;PRC1;CENPF;TUBG1;NEK6;RACGAP1;BCL7A;HSPA1A;ACTB;TRIP13"
"GO:0000910","cytokinesis",4.7688901679285e-06,0.000409703770015269,0.610526878385931,-0.413527800021514,-1.74995245440185,177,"IQGAP3;CDCA8;KIF20A;BRCA2;AURKB;BIRC5;E2F7;KIF23;AURKA;ESPL1;E2F8;PLK1;NUSAP1;ECT2;ANLN;SPTBN1;CENPA;KIF20B;DRD2;SNX33;INCENP;KLHL9;KIF14;CDC6;CKAP2;KIF13A;PRC1;RACGAP1;SNX18;MYH9;SEPTIN9;SEPTIN10;SNX9;EXOC5;ANK3;CDC25B;PKP4;TAS2R13;CENPV;ZNF365;SEPTIN1;APC;PLEC;CUL7;TMEM250;RASA1;SEPTIN7"
"GO:0000956","nuclear-transcribed mRNA catabolic process",0.969953449005502,1,0.026460787768237,-0.191618884996015,-0.776959009349155,122,"GSPT2;SAMD4A;DHX9;SYNCRIP;RBM8A;TOB1;A1CF;DDX5;PAN2;TNKS1BP1;NOCT;CASC3;SKIC8;LSM4;ZFP36L2;CSDE1;NBDY;PATL2;HNRNPU;HNRNPD;BTG2;EXOSC8;ATM;PNLDC1;MLH1;PELO;EXOSC2;PNRC1;CNOT1;SMG9;DCP2;CNOT9;PDE12;DCPS;EIF4A3;RC3H1"
"GO:0000959","mitochondrial RNA metabolic process",0.897807865892972,1,0.0232240698938442,-0.220895075917868,-0.769809936980041,52,"FASTKD1;CHCHD10;ANGEL2;PPARGC1B;GRSF1;DARS2;TARS2;PRKAA1;TFB1M;MTO1;POLRMT;METTL8;PDE12;TEFM;METTL4;CDK5RAP1;TRIT1"
"GO:0000963","mitochondrial RNA processing",0.112496683470417,0.559323936029084,0.0686043435198679,-0.451626066693254,-1.31745507575963,23,"FASTK;FASTKD1;FASTKD2;ANGEL2"
"GO:0000966","RNA 5'-end processing",0.999544626593807,1,0.0103910925031598,0.14725697786333,0.432987021462441,38,"RPP25;RPP21;PRORP;RNGTT;SNRPE;NOP14;RPP30;TRMT10C;RPP40;POP7;UTP20;RPP14;ABT1;SNRPB;TGS1;SNRPF;SSB;RAMAC;TBL3;HSD17B10;NCBP1;SNRPD2;POP4;PNPT1;RPP38;POP5;NOP9;NCBP3;SNRPD1;POP1;RNMT;RPP25L;CMTR1;THG1L;RAMACL;CMTR2;SNRPD3;SNRPG"
"GO:0001101","response to acid chemical",0.256715103478644,0.723406961178045,0.058008949856548,-0.26435925603122,-1.08049252940088,130,"EDN1;COL5A2;SESN3;MIR545;COL1A2;PKD2;UFL1;RELA;VEGFA;COL4A6;AQP2;COL4A1;PDGFC;SPAAR;MYD88;SIPA1;EGFR;CEBPB;PTGS2;MAT2A;SH3BP4;STAMBPL1;KLF2;NQO1;CRLS1;CPS1;SLC7A5;COL16A1;KCNB1"
"GO:0001325","formation of extrachromosomal circular DNA",0.387673956262425,0.811364455861494,0.0335635533983774,-0.420012886548605,-1.05660416164183,13,"EXO1;NBN;XRCC3;XRCC5;DNA2;TERF1"
"GO:0001408","guanine nucleotide transport",0.895308727147292,1,0.0138877414043761,0.294539146963185,0.641261041151412,10,"LRRC8E;ABCC5;SLC17A9;SLC46A2"
"GO:0001502","cartilage condensation",0.171968190854871,0.643170607544719,0.0529320926690098,-0.505610935444994,-1.27193863729459,13,"CCN2;COL11A1;BMPR1B;SOX6;PKD1;BMP1;SOX9;THRA"
"GO:0001504","neurotransmitter uptake",0.586558044806517,0.910864459797893,0.0287150604792945,-0.284286029606149,-0.925440517714487,37,"GFAP;ITGB3;GDNF;DRD2;ATP1A2;SLC38A1;SLC1A3"
